cell_line,depmap_id,author_ccle_id,lineage,lineage_subtype,trametinib_auc,trametinib_sensitivity,prism_auc,gdsc_auc,braf_mut,kras_mut,hras_mut,nras_mut,annotation_source,sensitivity_use
CAOV3_OVARY,ACH-000713,CAOV3_OVARY,ovary,ovary_adenocarcinoma,0.879057959879154,0.12094204012084597,0.822080944092519,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
CJM_SKIN,ACH-000458,CJM_SKIN,skin,melanoma,1.0465528487664546,-0.0465528487664546,1.10739217565127,,False,False,True,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
COLO668_LUNG,ACH-000803,COLO668_LUNG,lung,lung_small,0.9245428435428321,0.07545715645716788,0.912105620398494,0.955053,False,True,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
COLO680N_OESOPHAGUS,ACH-000717,COLO680N_OESOPHAGUS,esophagus,esophagus_squamous,0.7676131639519772,0.2323868360480228,0.70160986673789,0.869733,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
COV434_OVARY,ACH-000123,COV434_OVARY,ovary,ovary_adenocarcinoma,0.826943406907677,0.17305659309232302,0.773865236359736,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
DMS273_LUNG,ACH-000749,DMS273_LUNG,lung,lung_small,1.0579514916580717,-0.057951491658071674,1.12571841283787,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
EFM192A_BREAST,ACH-000117,EFM192A_BREAST,breast,TPBC,0.9457194707881382,0.05428052921186177,0.99782953682142,0.954094,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
G401_SOFT_TISSUE,ACH-000096,G401_SOFT_TISSUE,rhabdoid,,0.7254543200715405,0.27454567992845946,0.732031820270718,0.698728,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
GCIY_STOMACH,ACH-000047,GCIY_STOMACH,gastric,gastric_adenocarcinoma,0.4071512201213993,0.5928487798786006,0.535414887905799,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
GP2D_LARGE_INTESTINE,ACH-000982,GP2D_LARGE_INTESTINE,colorectal,colorectal_MSI,0.8963281117707331,0.10367188822926687,0.844997281649037,,False,True,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
HCC1143_BREAST,ACH-000374,HCC1143_BREAST,breast,TNBC,0.6030452958252157,0.3969547041747843,0.65173348159007,0.520594,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
HCC1195_LUNG,ACH-000868,HCC1195_LUNG,lung,lung_NSC,0.929764606529185,0.07023539347081498,0.885078774233005,,False,False,False,True,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
HCC1419_BREAST,ACH-000277,HCC1419_BREAST,breast,HER2Amp,0.8586619334072456,0.14133806659275439,0.759516525711613,0.958783,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
HEC1B_ENDOMETRIUM,ACH-000941,HEC1B_ENDOMETRIUM,uterus,uterus_endometrium,0.7584532069220943,0.24154679307790572,0.730238578042266,,False,True,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
HEP3B217_LIVER,ACH-000625,HEP3B217_LIVER,liver,,0.562572910237511,0.437427089762489,0.711257432162363,0.262575,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
HS766T_PANCREAS,ACH-000178,HS766T_PANCREAS,pancreas,,0.4667885527171777,0.5332114472828223,0.435274504079283,0.674987,False,True,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
HS852T_SKIN,ACH-000274,HS852T_SKIN,skin,melanoma,0.5171792344221446,0.48282076557785536,0.598275704324973,,False,False,False,True,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
HUCCT1_BILIARY_TRACT,ACH-000976,HUCCT1_BILIARY_TRACT,bile_duct,cholangiocarcinoma,0.3431027789752281,0.6568972210247719,0.513855974136225,0.150599,False,True,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
IGR1_SKIN,ACH-000882,IGR1_SKIN,skin,melanoma,0.3654668639447316,0.6345331360552684,0.504160478827457,,True,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
IGROV1_OVARY,ACH-000966,IGROV1_OVARY,ovary,ovary_adenocarcinoma,0.7735065233369045,0.2264934766630955,0.883399466045026,0.588915,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
ISTMES1_PLEURA,ACH-000569,ISTMES1_PLEURA,mesothelioma,,0.984915884650176,0.015084115349824012,0.904535513773284,0.984608,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
J82_URINARY_TRACT,ACH-000396,J82_URINARY_TRACT,urinary_tract,,0.8661994641416302,0.13380053585836982,0.838931167268472,0.896301,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
JHH5_LIVER,ACH-000734,JHH5_LIVER,liver,,0.46104163494685235,0.5389583650531476,0.563288883662079,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
KNS42_CENTRAL_NERVOUS_SYSTEM,ACH-000622,KNS42_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,0.9030079797226511,0.09699202027734888,0.8455858187693,0.963675,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
KNS60_CENTRAL_NERVOUS_SYSTEM,ACH-000445,KNS60_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,0.9235358147835393,0.0764641852164607,0.874959299595516,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
KNS81_CENTRAL_NERVOUS_SYSTEM,ACH-000479,KNS81_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,0.7853249186040573,0.2146750813959427,0.745989147825496,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
KYSE270_OESOPHAGUS,ACH-000873,KYSE270_OESOPHAGUS,esophagus,esophagus_squamous,0.8473563605034711,0.15264363949652893,0.77137880661916,0.928071,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
LI7_LIVER,ACH-000471,LI7_LIVER,liver,,0.8192485885911402,0.18075141140885975,0.767359436093075,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
LK2_LUNG,ACH-000769,LK2_LUNG,lung,lung_NSC,0.8071008967718436,0.1928991032281564,,0.858249,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
LMSU_STOMACH,ACH-000255,LMSU_STOMACH,gastric,,0.7889443522881889,0.21105564771181107,0.74835507913214,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
LN229_CENTRAL_NERVOUS_SYSTEM,ACH-000595,LN229_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,0.6428885957718942,0.35711140422810583,0.723686909773379,0.464778,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
LNCAPCLONEFGC_PROSTATE,ACH-000977,LNCAPCLONEFGC_PROSTATE,prostate,,0.9451991411551677,0.05480085884483232,0.892328361380036,0.98164,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
LOVO_LARGE_INTESTINE,ACH-000950,LOVO_LARGE_INTESTINE,colorectal,colorectal_MSI,0.5177850952632148,0.4822149047367852,0.590837926178378,0.462816,False,True,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
LUDLU1_LUNG,ACH-000390,LUDLU1_LUNG,lung,lung_NSC,0.6814077914324009,0.31859220856759907,0.679210454866379,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
MALME3M_SKIN,ACH-000477,MALME3M_SKIN,skin,melanoma,0.25155243043667985,0.7484475695633201,0.432470740146339,,True,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
MDAMB435S_SKIN,ACH-000884,MDAMB435S_SKIN,skin,melanoma,0.26844296901688147,0.7315570309831185,0.44007872345067,,True,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
MDAMB468_BREAST,ACH-000849,MDAMB468_BREAST,breast,TNBC,0.8750921339321706,0.12490786606782944,0.860193979979072,0.890815,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
MIAPACA2_PANCREAS,ACH-000601,MIAPACA2_PANCREAS,pancreas,,0.42288562788866996,0.5771143721113301,0.517857793721413,0.362784,False,True,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
MSTO211H_PLEURA,ACH-000335,MSTO211H_PLEURA,mesothelioma,,0.3194007303148024,0.6805992696851977,0.480196879358079,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
NCIH1048_LUNG,ACH-000866,NCIH1048_LUNG,lung,lung_small,0.8518579311927313,0.14814206880726866,0.728686906364688,0.980791,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
