cell_line,held_out_lineage,b1_rmse,b4_rmse,rmse_gain_vs_b1
TE6_OESOPHAGUS,esophagus,0.3484039890074395,0.35020760051258903,-0.001803611505149516
AGS_STOMACH,gastric,0.2836026702935211,0.2824587501818182,0.0011439201117028897
GCIY_STOMACH,gastric,0.209797247198611,0.20788325257177429,0.0019139946268367236
LMSU_STOMACH,gastric,0.24238330370379702,0.23894753264391924,0.0034357710598777735
NUGC3_STOMACH,gastric,0.3146009323504637,0.31274875950700887,0.0018521728434548468
769P_KIDNEY,kidney,0.26091779585715574,0.2610102070308974,-9.241117374164665e-05
786O_KIDNEY,kidney,0.19418409380264914,0.19090422904396046,0.0032798647586886887
OSRC2_KIDNEY,kidney,0.30705286614642746,0.3077803333445072,-0.0007274671980797565
RCC10RGB_KIDNEY,kidney,0.28412863611981065,0.28304389177833633,0.0010847443414743196
TUHR4TKB_KIDNEY,kidney,0.329377685457818,0.32891403720982876,0.00046364824798922344
HEP3B217_LIVER,liver,0.4974595061572435,0.49756228802970415,-0.00010278187246065551
JHH5_LIVER,liver,0.3664262477779722,0.36405258181472033,0.002373665963251892
LI7_LIVER,liver,0.4254576981268495,0.4257863989068697,-0.00032870078002017467
BEN_LUNG,lung,0.2749150757750111,0.28598605791321186,-0.011070982138200736
COLO668_LUNG,lung,0.4215742903139887,0.42569217218777683,-0.004117881873788143
DMS273_LUNG,lung,0.21922306233428032,0.21395204207570206,0.005271020258578257
HCC1195_LUNG,lung,0.3425284546136995,0.3445399222899659,-0.0020114676762663652
LK2_LUNG,lung,0.31134511413560334,0.3142558760327393,-0.0029107618971359606
LUDLU1_LUNG,lung,0.32247584783099326,0.3232457865636049,-0.0007699387326116636
NCIH1048_LUNG,lung,0.40908510423826794,0.40827698824598146,0.0008081159922864734
NCIH1299_LUNG,lung,0.1819960969087226,0.17922080301872417,0.0027752938899984203
NCIH1355_LUNG,lung,0.3312092025216317,0.33192107583331515,-0.0007118733116834308
NCIH1573_LUNG,lung,0.37358757127823755,0.3737305537323137,-0.00014298245407612376
NCIH1581_LUNG,lung,0.24922852685255403,0.24863355537610837,0.0005949714764456604
NCIH1650_LUNG,lung,0.35136916717150624,0.3505064973823106,0.0008626697891956359
NCIH1693_LUNG,lung,0.2432873397015556,0.24580542227157404,-0.002518082570018426
NCIH1793_LUNG,lung,0.3207469449373835,0.3218295603335846,-0.0010826153962011364
NCIH1915_LUNG,lung,0.34241230698355707,0.34191839728160944,0.0004939097019476257
NCIH2126_LUNG,lung,0.28793530256961214,0.289074472727559,-0.001139170157946845
NCIH2347_LUNG,lung,0.48673204641932355,0.485686360708513,0.00104568571081054
NCIH23_LUNG,lung,0.2780362281376007,0.27493070195627145,0.0031055261813292545
NCIH2444_LUNG,lung,0.3315009024657151,0.3305219565512274,0.0009789459144877166
NCIH322_LUNG,lung,0.3205534260484005,0.32041789625979666,0.00013552978860381648
NCIH522_LUNG,lung,0.330485165962027,0.32716130186477665,0.0033238640972503286
NCIH838_LUNG,lung,0.21461693593616102,0.2123497320950006,0.0022672038411604145
NCIH841_LUNG,lung,0.24205079213571465,0.2386553464485864,0.00339544568712824
SW900_LUNG,lung,0.37913539910375205,0.37673148213178154,0.00240391697197051
ACCMESO1_PLEURA,mesothelioma,0.1923483812834246,0.18870022707457212,0.0036481542088524777
ISTMES1_PLEURA,mesothelioma,0.31051721862679177,0.31007776365028994,0.00043945497650182963
MSTO211H_PLEURA,mesothelioma,0.23535244294412005,0.23405813166646283,0.001294311277657223
A2780_OVARY,ovary,0.27208271261412564,0.27039305515803075,0.0016896574560948951
CAOV3_OVARY,ovary,0.29429975308008727,0.2965295154402085,-0.0022297623601212346
COV434_OVARY,ovary,0.3464521582064409,0.3431665301038616,0.0032856281025792633
IGROV1_OVARY,ovary,0.21603725640903612,0.21444167568086375,0.0015955807281723688
OAW42_OVARY,ovary,0.17924636483858283,0.17923800885427119,8.355984311647635e-06
HS766T_PANCREAS,pancreas,0.5725040263895962,0.5678746168165969,0.004629409572999288
MIAPACA2_PANCREAS,pancreas,0.2617246073167809,0.2597576160569391,0.0019669912598417882
PANC0403_PANCREAS,pancreas,0.38459353306854915,0.3767215847667132,0.007871948301835963
PATU8988S_PANCREAS,pancreas,0.3348955147339162,0.33184568532126035,0.003049829412655858
QGP1_PANCREAS,pancreas,0.4933573486170373,0.49493920457068713,-0.0015818559536498467
22RV1_PROSTATE,prostate,0.41419999695032944,0.41437156419280224,-0.0001715672424728032
LNCAPCLONEFGC_PROSTATE,prostate,0.2680671423468964,0.2664646670653644,0.0016024752815319565
PC3_PROSTATE,prostate,0.27081900849436796,0.28163540800052383,-0.010816399506155872
G401_SOFT_TISSUE,rhabdoid,0.29116376818895373,0.2904503864705599,0.0007133817183938573
RH30_SOFT_TISSUE,rhabdomyosarcoma,0.25629043009426095,0.254528494876808,0.0017619352174529368
A375_SKIN,skin,0.39929131676169854,0.40549627249411574,-0.0062049557324171944
CJM_SKIN,skin,0.4401009546589054,0.43513113347091376,0.004969821187991663
HS852T_SKIN,skin,0.5672214031081259,0.5673484896031344,-0.00012708649500858815
IGR1_SKIN,skin,0.30010220822285144,0.3022183247162599,-0.002116116493408482
