cell_line,depmap_id,author_ccle_id,lineage,lineage_subtype,trametinib_auc,trametinib_sensitivity,prism_auc,gdsc_auc,braf_mut,kras_mut,hras_mut,nras_mut,annotation_source,sensitivity_use,control_pc1,control_pc2,response_pc1,response_pc2
HCC1419_BREAST,ACH-000277,HCC1419_BREAST,breast,HER2Amp,0.8586619334072456,0.1413380665927543,0.759516525711613,0.958783,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,38.885834,-9.296011,-5.3107123,-4.437107
HEC1B_ENDOMETRIUM,ACH-000941,HEC1B_ENDOMETRIUM,uterus,uterus_endometrium,0.7584532069220943,0.2415467930779057,0.730238578042266,,False,True,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,4.0844703,-8.136745,6.14073,-2.6697178
HEP3B217_LIVER,ACH-000625,HEP3B217_LIVER,liver,,0.562572910237511,0.437427089762489,0.711257432162363,0.262575,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,14.774037,-17.826216,5.7340264,-0.79085934
HS766T_PANCREAS,ACH-000178,HS766T_PANCREAS,pancreas,,0.4667885527171777,0.5332114472828223,0.435274504079283,0.674987,False,True,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,-2.7680886,23.414143,-38.411453,23.181015
HS852T_SKIN,ACH-000274,HS852T_SKIN,skin,melanoma,0.5171792344221446,0.4828207655778553,0.598275704324973,,False,False,False,True,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,-37.23285,7.781884,-20.624535,-7.5399523
HUCCT1_BILIARY_TRACT,ACH-000976,HUCCT1_BILIARY_TRACT,bile_duct,cholangiocarcinoma,0.3431027789752281,0.6568972210247719,0.513855974136225,0.150599,False,True,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,13.556055,28.190365,-15.743462,8.447982
IGR1_SKIN,ACH-000882,IGR1_SKIN,skin,melanoma,0.3654668639447316,0.6345331360552684,0.504160478827457,,True,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,-29.918753,0.8813908,-4.285669,-7.2018027
IGROV1_OVARY,ACH-000966,IGROV1_OVARY,ovary,ovary_adenocarcinoma,0.7735065233369045,0.2264934766630955,0.883399466045026,0.588915,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,7.6659245,-11.795594,4.7245674,-1.0141869
ISTMES1_PLEURA,ACH-000569,ISTMES1_PLEURA,mesothelioma,,0.984915884650176,0.015084115349824,0.904535513773284,0.984608,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,-25.807154,3.0928679,2.5564914,1.836069
J82_URINARY_TRACT,ACH-000396,J82_URINARY_TRACT,urinary_tract,,0.8661994641416302,0.1338005358583698,0.838931167268472,0.896301,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,-23.355253,11.307457,5.540933,-0.79584867
JHH5_LIVER,ACH-000734,JHH5_LIVER,liver,,0.4610416349468523,0.5389583650531476,0.563288883662079,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,13.496482,-2.7079453,-8.708593,2.8163195
KNS42_CENTRAL_NERVOUS_SYSTEM,ACH-000622,KNS42_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,0.9030079797226512,0.0969920202773488,0.8455858187693,0.963675,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,-30.805912,-10.657025,7.956801,-1.2938046
KNS60_CENTRAL_NERVOUS_SYSTEM,ACH-000445,KNS60_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,0.9235358147835392,0.0764641852164607,0.874959299595516,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,-35.6894,10.737244,7.015528,-0.71098334
KNS81_CENTRAL_NERVOUS_SYSTEM,ACH-000479,KNS81_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,0.7853249186040573,0.2146750813959427,0.745989147825496,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,-41.432655,5.652171,-0.07808671,3.0770895
KYSE270_OESOPHAGUS,ACH-000873,KYSE270_OESOPHAGUS,esophagus,esophagus_squamous,0.8473563605034711,0.1526436394965289,0.77137880661916,0.928071,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,15.354463,2.9214423,4.6491237,2.2960343
LI7_LIVER,ACH-000471,LI7_LIVER,liver,,0.8192485885911402,0.1807514114088597,0.767359436093075,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,-1.3875039,5.084649,6.220192,-1.7582755
LK2_LUNG,ACH-000769,LK2_LUNG,lung,lung_NSC,0.8071008967718436,0.1928991032281564,,0.858249,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,17.049717,-25.554174,7.632055,-2.2325277
LMSU_STOMACH,ACH-000255,LMSU_STOMACH,gastric,,0.7889443522881889,0.211055647711811,0.74835507913214,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,-35.648407,10.795185,3.8179579,-0.5480197
LN229_CENTRAL_NERVOUS_SYSTEM,ACH-000595,LN229_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,0.6428885957718942,0.3571114042281058,0.723686909773379,0.464778,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,-36.851536,8.365331,-2.6477711,-4.493642
LNCAPCLONEFGC_PROSTATE,ACH-000977,LNCAPCLONEFGC_PROSTATE,prostate,,0.9451991411551676,0.0548008588448323,0.892328361380036,0.98164,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,26.32758,-27.358128,8.11879,-2.4115756
LOVO_LARGE_INTESTINE,ACH-000950,LOVO_LARGE_INTESTINE,colorectal,colorectal_MSI,0.5177850952632148,0.4822149047367852,0.590837926178378,0.462816,False,True,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,30.795969,-4.815862,-1.0605769,4.91306
LUDLU1_LUNG,ACH-000390,LUDLU1_LUNG,lung,lung_NSC,0.6814077914324009,0.318592208567599,0.679210454866379,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,31.632256,13.114289,4.6012297,3.5716696
MALME3M_SKIN,ACH-000477,MALME3M_SKIN,skin,melanoma,0.2515524304366798,0.7484475695633201,0.432470740146339,,True,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,-24.512688,-0.7863122,-44.127323,-50.52467
MDAMB435S_SKIN,ACH-000884,MDAMB435S_SKIN,skin,melanoma,0.2684429690168814,0.7315570309831185,0.44007872345067,,True,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,-27.933538,4.105095,1.2950646,-3.490182
MDAMB468_BREAST,ACH-000849,MDAMB468_BREAST,breast,TNBC,0.8750921339321706,0.1249078660678294,0.860193979979072,0.890815,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,24.745462,12.857394,4.760044,3.1727805
