repeat,cell_line,split_half_rmse,full_target_noise_floor_approx,split_half_pcc,split_half_spearman
1,HS852T_SKIN,1.032228652172345,0.5161143260861725,0.11217816106673627,0.1206456981279739
1,HUCCT1_BILIARY_TRACT,0.5146974496313894,0.2573487248156947,0.47200374271541967,0.39419802161942274
1,IGR1_SKIN,0.4686760625658356,0.2343380312829178,0.35567698289952754,0.3307782892705069
1,IGROV1_OVARY,0.3082147179250688,0.1541073589625344,0.4275297260490754,0.35805724963358865
1,ISTMES1_PLEURA,0.5666678835009561,0.28333394175047805,0.18969624341717053,0.2071669799099444
1,J82_URINARY_TRACT,0.35301199198752997,0.17650599599376499,0.3023139690044948,0.2530589006748383
1,JHH5_LIVER,0.6517773420863233,0.32588867104316166,0.23375337768612334,0.21615373761159132
1,KNS42_CENTRAL_NERVOUS_SYSTEM,0.49814432963284555,0.24907216481642278,0.15179570743319523,0.16690379384850138
1,KNS60_CENTRAL_NERVOUS_SYSTEM,0.5024768199216088,0.2512384099608044,0.16147303421021955,0.1658016988232388
1,KNS81_CENTRAL_NERVOUS_SYSTEM,0.615341531450351,0.3076707657251755,0.21656916170056045,0.21325631107649543
1,KYSE270_OESOPHAGUS,0.4346592031527576,0.2173296015763788,0.27293602674009954,0.2573008977564387
1,LI7_LIVER,0.7853292329136397,0.3926646164568198,0.10619263297259998,0.12201000489080617
1,LK2_LUNG,0.5482397829419181,0.27411989147095905,0.13134087416192713,0.14437875318570131
1,LMSU_STOMACH,0.3864989818259046,0.1932494909129523,0.35529731019491856,0.32272948183973366
1,LN229_CENTRAL_NERVOUS_SYSTEM,0.5224553707404312,0.2612276853702156,0.30124199012031605,0.2783270905842537
1,LNCAPCLONEFGC_PROSTATE,0.48420218540528487,0.24210109270264243,0.09038642794240373,0.10747720267131415
1,LOVO_LARGE_INTESTINE,0.4460481145518298,0.2230240572759149,0.4153403067015568,0.35607314301264553
1,LUDLU1_LUNG,0.6045757832803575,0.3022878916401788,0.11510259718730118,0.13487559638988844
1,MALME3M_SKIN,0.9809454124246862,0.4904727062123431,0.2635380034510077,0.2373442104174863
1,MDAMB435S_SKIN,0.4589594141634863,0.22947970708174315,0.27702983206124726,0.2596950206836438
1,MDAMB468_BREAST,0.41835639975567734,0.20917819987783867,0.3064331615296792,0.24804037151602873
1,MIAPACA2_PANCREAS,0.35237966278179345,0.17618983139089672,0.5600199217120081,0.44863495214099947
1,MSTO211H_PLEURA,0.38300417007406995,0.19150208503703497,0.3876430275254331,0.34142398958619374
1,NCIH1048_LUNG,0.7418680380010593,0.37093401900052964,0.11852806484333105,0.1259811817248828
1,NCIH1299_LUNG,0.2880173729207769,0.14400868646038845,0.4024958280519509,0.34336905864400175
1,NCIH1355_LUNG,0.5842507478022964,0.2921253739011482,0.24111797981933847,0.24389889507752788
1,NCIH1573_LUNG,0.7054655477970031,0.35273277389850155,0.10226103568077559,0.11225303953329634
1,NCIH1581_LUNG,0.45308506898432993,0.22654253449216497,0.1757390405993715,0.1950696123686932
1,NCIH1650_LUNG,0.6495761154766786,0.3247880577383393,0.12900692256592342,0.15149264020860106
1,NCIH1693_LUNG,0.4237661518163862,0.2118830759081931,0.2895267396909985,0.2791627994977557
1,NCIH1793_LUNG,0.5945408332698177,0.29727041663490883,0.12499016992131769,0.1401063841279077
1,NCIH1915_LUNG,0.5813026760354489,0.29065133801772447,0.2918936801886432,0.2876112652175306
1,NCIH2126_LUNG,0.5091643105216537,0.25458215526082684,0.1495170897509978,0.1451864953460721
1,NCIH2347_LUNG,0.8631255746334687,0.43156278731673436,0.19951156051366917,0.20557219639176852
1,NCIH23_LUNG,0.4781105045056089,0.23905525225280444,0.24021704825882403,0.21052061627779242
1,NCIH2444_LUNG,0.5119552224433132,0.2559776112216566,0.3844089048817579,0.32673298042425675
1,NCIH322_LUNG,0.5894805603017256,0.2947402801508628,0.15236406658366816,0.16422233740596154
1,NCIH522_LUNG,0.6087294943547,0.30436474717735,0.09235218992006054,0.1092500655901489
1,NCIH838_LUNG,0.32960075613501477,0.16480037806750739,0.3294859105403226,0.2753659385030707
