outer_fold,model,inner_fold,control_dimension,response_rank,alpha,mean_rmse,n_validation_lines
0,CCLR,2,10,20,100.0,0.31377510553147187,19
0,CCLR,2,20,2,0.01,0.31648698527837943,19
0,CCLR,2,20,2,0.1,0.31647715240402585,19
0,CCLR,2,20,2,1.0,0.3163816979098144,19
0,CCLR,2,20,2,10.0,0.31565631346732487,19
0,CCLR,2,20,2,100.0,0.31433996250920254,19
0,CCLR,2,20,5,0.01,0.31830532208325346,19
0,CCLR,2,20,5,0.1,0.3182875609638186,19
0,CCLR,2,20,5,1.0,0.3181150405817746,19
0,CCLR,2,20,5,10.0,0.3167964697218251,19
0,CCLR,2,20,5,100.0,0.3142694223093416,19
0,CCLR,2,20,10,0.01,0.3204166944723349,19
0,CCLR,2,20,10,0.1,0.32038763185849184,19
0,CCLR,2,20,10,1.0,0.3201053530282091,19
0,CCLR,2,20,10,10.0,0.31794968251627204,19
0,CCLR,2,20,10,100.0,0.31387309701150107,19
0,CCLR,2,20,20,0.01,0.32328627115147723,19
0,CCLR,2,20,20,0.1,0.32324403742960417,19
0,CCLR,2,20,20,1.0,0.3228337066753367,19
0,CCLR,2,20,20,10.0,0.3196917438731607,19
0,CCLR,2,20,20,100.0,0.3136445647183754,19
0,CCLR,2,30,2,0.01,0.3155829046453695,19
0,CCLR,2,30,2,0.1,0.31557487956056923,19
0,CCLR,2,30,2,1.0,0.3154971513303015,19
0,CCLR,2,30,2,10.0,0.3149194085351308,19
0,CCLR,2,30,2,100.0,0.3140788174855352,19
0,CCLR,2,30,5,0.01,0.31719258691515273,19
0,CCLR,2,30,5,0.1,0.3171768243406776,19
0,CCLR,2,30,5,1.0,0.31702394402805806,19
0,CCLR,2,30,5,10.0,0.31587199602493765,19
0,CCLR,2,30,5,100.0,0.3139202299570336,19
0,CCLR,2,30,10,0.01,0.3196721096308587,19
0,CCLR,2,30,10,0.1,0.31964369828802897,19
0,CCLR,2,30,10,1.0,0.31936794059608414,19
0,CCLR,2,30,10,10.0,0.3172763478738124,19
0,CCLR,2,30,10,100.0,0.3135449905182521,19
0,CCLR,2,30,20,0.01,0.3233245231941087,19
0,CCLR,2,30,20,0.1,0.32327997247744084,19
0,CCLR,2,30,20,1.0,0.32284726219709253,19
0,CCLR,2,30,20,10.0,0.3195436930940136,19
0,CCLR,2,30,20,100.0,0.3133429610755993,19
0,CCLR,3,5,2,0.01,0.33685403112585605,19
0,CCLR,3,5,2,0.1,0.33684946401065813,19
0,CCLR,3,5,2,1.0,0.33680526972942,19
0,CCLR,3,5,2,10.0,0.33647961924183106,19
0,CCLR,3,5,2,100.0,0.3360410195703847,19
0,CCLR,3,5,5,0.01,0.3374168802608914,19
0,CCLR,3,5,5,0.1,0.3374086741479118,19
0,CCLR,3,5,5,1.0,0.3373291925284642,19
0,CCLR,3,5,5,10.0,0.33673812815779147,19
0,CCLR,3,5,5,100.0,0.335854139093132,19
0,CCLR,3,5,10,0.01,0.33843861774895784,19
0,CCLR,3,5,10,0.1,0.33842416902442346,19
0,CCLR,3,5,10,1.0,0.33828412954979564,19
0,CCLR,3,5,10,10.0,0.3372359641690299,19
0,CCLR,3,5,10,100.0,0.3355633492016584,19
0,CCLR,3,5,20,0.01,0.33970622596189276,19
0,CCLR,3,5,20,0.1,0.3396858803555317,19
0,CCLR,3,5,20,1.0,0.3394885316948722,19
0,CCLR,3,5,20,10.0,0.3380003029215115,19
0,CCLR,3,5,20,100.0,0.33545781099557487,19
0,CCLR,3,10,2,0.01,0.3367684008607991,19
0,CCLR,3,10,2,0.1,0.3367636848483,19
0,CCLR,3,10,2,1.0,0.3367180735922914,19
0,CCLR,3,10,2,10.0,0.3363838021916139,19
0,CCLR,3,10,2,100.0,0.33596799762048396,19
0,CCLR,3,10,5,0.01,0.33761560115300077,19
0,CCLR,3,10,5,0.1,0.3376059151526225,19
0,CCLR,3,10,5,1.0,0.33751209188254955,19
0,CCLR,3,10,5,10.0,0.3368137923022862,19
0,CCLR,3,10,5,100.0,0.33576017654774126,19
0,CCLR,3,10,10,0.01,0.3389687929328989,19
0,CCLR,3,10,10,0.1,0.3389511373784327,19
0,CCLR,3,10,10,1.0,0.33877999056557734,19
0,CCLR,3,10,10,10.0,0.33749709227077535,19
0,CCLR,3,10,10,100.0,0.33541878799318176,19
0,CCLR,3,10,20,0.01,0.34086208346172997,19
0,CCLR,3,10,20,0.1,0.3408356351732367,19
0,CCLR,3,10,20,1.0,0.34057903468218326,19
0,CCLR,3,10,20,10.0,0.3386398889028793,19
0,CCLR,3,10,20,100.0,0.33526323034491307,19
0,CCLR,3,20,2,0.01,0.3363064082063663,19
0,CCLR,3,20,2,0.1,0.33630158532553217,19
0,CCLR,3,20,2,1.0,0.3362550774836122,19
0,CCLR,3,20,2,10.0,0.33592434993154446,19
0,CCLR,3,20,2,100.0,0.33568524614934947,19
0,CCLR,3,20,5,0.01,0.3372028059144629,19
0,CCLR,3,20,5,0.1,0.33719262620917745,19
0,CCLR,3,20,5,1.0,0.33709415864831627,19
0,CCLR,3,20,5,10.0,0.3363714828104358,19
0,CCLR,3,20,5,100.0,0.33545217826571955,19
0,CCLR,3,20,10,0.01,0.3390463983858243,19
0,CCLR,3,20,10,0.1,0.339026034712385,19
0,CCLR,3,20,10,1.0,0.3388287267368857,19
0,CCLR,3,20,10,10.0,0.3373564516032452,19
0,CCLR,3,20,10,100.0,0.33508428035884835,19
0,CCLR,3,20,20,0.01,0.34231258181190105,19
0,CCLR,3,20,20,0.1,0.34227853890697996,19
0,CCLR,3,20,20,1.0,0.34194818116864995,19
0,CCLR,3,20,20,10.0,0.33944653015379533,19
0,CCLR,3,20,20,100.0,0.3350229911250235,19
0,CCLR,3,30,2,0.01,0.3362594196790295,19
0,CCLR,3,30,2,0.1,0.3362546068582656,19
0,CCLR,3,30,2,1.0,0.336208212215515,19
0,CCLR,3,30,2,10.0,0.33587944668063063,19
0,CCLR,3,30,2,100.0,0.33566016443186497,19
0,CCLR,3,30,5,0.01,0.3368868827355842,19
0,CCLR,3,30,5,0.1,0.3368776967840242,19
0,CCLR,3,30,5,1.0,0.3367889168983269,19
0,CCLR,3,30,5,10.0,0.33614281779849287,19
0,CCLR,3,30,5,100.0,0.3354105561583865,19
0,CCLR,3,30,10,0.01,0.3390278985608575,19
0,CCLR,3,30,10,0.1,0.3390073775945238,19
0,CCLR,3,30,10,1.0,0.3388085533401839,19
0,CCLR,3,30,10,10.0,0.3373256049698243,19
0,CCLR,3,30,10,100.0,0.33505072932618973,19
0,CCLR,3,30,20,0.01,0.3435168763101786,19
0,CCLR,3,30,20,0.1,0.3434786116440355,19
0,CCLR,3,30,20,1.0,0.3431071293349847,19
0,CCLR,3,30,20,10.0,0.3402828200094148,19
0,CCLR,3,30,20,100.0,0.3351160115085211,19
1,CCLR,0,5,2,0.01,0.3225144573844661,19
1,CCLR,0,5,2,0.1,0.3225100826443139,19
1,CCLR,0,5,2,1.0,0.3224676624997496,19
1,CCLR,0,5,2,10.0,0.32214857987872325,19
1,CCLR,0,5,2,100.0,0.32160555543596464,19
1,CCLR,0,5,5,0.01,0.32344896699743353,19
1,CCLR,0,5,5,0.1,0.3234396254324658,19
1,CCLR,0,5,5,1.0,0.3233490015624108,19
1,CCLR,0,5,5,10.0,0.32266424994913406,19
1,CCLR,0,5,5,100.0,0.3214497581887525,19
1,CCLR,0,5,10,0.01,0.3249149782980827,19
