cell_line,depmap_id,disease,time_hours,response_rms,rmse_to_time_mean
SKMEL3_SKIN,ACH-000423,skin cancer,6,0.3653748283463938,0.35167434254760466
SKMEL3_SKIN,ACH-000423,skin cancer,12,0.3712244930085662,0.35919046343967836
SKMEL3_SKIN,ACH-000423,skin cancer,24,0.3688244610229174,0.3432874996712976
SKMEL3_SKIN,ACH-000423,skin cancer,48,0.40630617797717555,0.3667814217622784
SNU1079_BILIARY_TRACT,ACH-000209,bile duct cancer,3,0.47221333792718184,0.4513480677793659
SNU1079_BILIARY_TRACT,ACH-000209,bile duct cancer,6,0.5284622236369503,0.500381006943072
SNU1079_BILIARY_TRACT,ACH-000209,bile duct cancer,12,0.4532652758106532,0.42551370944536504
SNU1079_BILIARY_TRACT,ACH-000209,bile duct cancer,24,0.4871795184126212,0.434307989147255
SNU1079_BILIARY_TRACT,ACH-000209,bile duct cancer,48,0.4006257048985723,0.36835127495397824
SQ1_LUNG,ACH-000553,lung cancer,3,0.26289303592214924,0.25138871752759684
SQ1_LUNG,ACH-000553,lung cancer,6,0.2751048171310462,0.2632606908398515
SQ1_LUNG,ACH-000553,lung cancer,12,0.2945333762955552,0.27289907505924416
SQ1_LUNG,ACH-000553,lung cancer,24,0.27777354842610597,0.24779454715827903
SQ1_LUNG,ACH-000553,lung cancer,48,0.3265617092329308,0.26083761722857074
TEN_ENDOMETRIUM,ACH-000397,endometrial/uterine cancer,3,0.2906626581858026,0.28324171635018247
TEN_ENDOMETRIUM,ACH-000397,endometrial/uterine cancer,6,0.2667165051904833,0.2623646613912003
TEN_ENDOMETRIUM,ACH-000397,endometrial/uterine cancer,12,0.273808691669211,0.26545279293369345
TEN_ENDOMETRIUM,ACH-000397,endometrial/uterine cancer,24,0.28709962168612974,0.284184728863873
TEN_ENDOMETRIUM,ACH-000397,endometrial/uterine cancer,48,0.2342240324925831,0.24211367425907776
UMUC1_URINARY_TRACT,ACH-000834,bladder cancer,3,0.23705666424917826,0.22417633051701621
UMUC1_URINARY_TRACT,ACH-000834,bladder cancer,6,0.26121753931754155,0.242951517412049
UMUC1_URINARY_TRACT,ACH-000834,bladder cancer,12,0.3081068252727575,0.27993936735874236
UMUC1_URINARY_TRACT,ACH-000834,bladder cancer,24,0.32291706060810016,0.26492850812253044
UMUC1_URINARY_TRACT,ACH-000834,bladder cancer,48,0.42516948193655874,0.33128946319374847
