cell_line,depmap_id,lineage,trametinib_sensitivity,braf_mut,kras_mut,b4_rmse,cclr_rmse,b4_pcc_context,response_rms,baseline_novelty,min_condition_cells,high_error,high_response_magnitude,high_baseline_novelty,low_cell_support,error_type
CAL120_BREAST,ACH-000212,breast,0.1547717960677328,False,False,0.2198544011693985,0.2223341900378213,0.1468446006512666,0.24861155,2.0523906613365903,67,False,False,False,False,not_high_error
CAL62_THYROID,ACH-000174,thyroid,0.4209566426721292,False,True,0.239813732681045,0.240566211516383,0.1019561795768231,0.30760458,2.2488812049796,204,False,False,False,False,not_high_error
CAOV3_OVARY,ACH-000713,ovary,0.1209420401208459,False,False,0.2949546627071419,0.295446056991156,0.035847653457992,0.32752392,3.0292489825902864,35,False,False,True,True,not_high_error
CJM_SKIN,ACH-000458,skin,-0.0465528487664546,False,False,0.4350244314462668,0.4351820813528066,0.1306992231225585,0.48506877,1.703762533282795,25,True,True,False,True,high_magnitude_target
COLO668_LUNG,ACH-000803,lung,0.0754571564571678,False,True,0.4204593105344341,0.422160323252794,0.0844484171248439,0.4336075,3.2031686167344935,25,True,True,True,True,high_magnitude_target
COLO680N_OESOPHAGUS,ACH-000717,esophagus,0.2323868360480228,False,False,0.2738947422560263,0.2747859705042643,0.0923451468004831,0.3106853,3.102334854053619,57,False,False,True,False,not_high_error
COV434_OVARY,ACH-000123,ovary,0.173056593092323,False,False,0.3428568657257285,0.3440352620401002,0.1507321390077209,0.35401812,2.6768924783356156,49,False,False,False,False,not_high_error
DMS273_LUNG,ACH-000749,lung,-0.0579514916580716,False,False,0.2104159217881969,0.2091840227402575,0.2276741285778202,0.22707784,2.880750159693126,124,False,False,True,False,not_high_error
EFM192A_BREAST,ACH-000117,breast,0.0542805292118617,False,False,0.3768474741260813,0.3761348079191605,0.0653735920059011,0.3948541,3.14334148249092,34,True,False,True,True,baseline_novelty
G401_SOFT_TISSUE,ACH-000096,rhabdoid,0.2745456799284594,False,False,0.2899243990730384,0.2909638583271528,0.1108873138214349,0.31880894,1.4719450302210115,78,False,False,False,False,not_high_error
GCIY_STOMACH,ACH-000047,gastric,0.5928487798786006,False,False,0.2090446630047457,0.2098116118433814,0.1338539937670658,0.24907172,2.8636697133803257,106,False,False,False,False,not_high_error
GP2D_LARGE_INTESTINE,ACH-000982,colorectal,0.1036718882292668,False,True,0.2630783059988048,0.2619433594228724,0.0741274208842622,0.2853266,1.7354726204383497,105,False,False,False,False,not_high_error
HCC1143_BREAST,ACH-000374,breast,0.3969547041747843,False,False,0.3010311205320891,0.301282993997939,0.0276592814993406,0.32728386,2.879124118386531,61,False,False,True,False,not_high_error
HCC1195_LUNG,ACH-000868,lung,0.0702353934708149,False,False,0.3436236828532654,0.3431505757667041,0.0406066630020706,0.38125673,2.5003787673833204,26,False,False,False,True,not_high_error
HCC1419_BREAST,ACH-000277,breast,0.1413380665927543,False,False,0.4161468511001427,0.4158927430044689,0.0399617000484707,0.43947926,2.435019876453335,41,True,True,False,False,high_magnitude_target
HEC1B_ENDOMETRIUM,ACH-000941,uterus,0.2415467930779057,False,True,0.2599647184912965,0.2612264166906788,0.1355119051333974,0.28821504,2.335848903063984,49,False,False,False,False,not_high_error
HEP3B217_LIVER,ACH-000625,liver,0.437427089762489,False,False,0.4965942467748857,0.4965864545018532,0.0498277588555507,0.5175792,2.780543373485877,22,True,True,False,True,high_magnitude_target
HS766T_PANCREAS,ACH-000178,pancreas,0.5332114472828223,False,True,0.5685891724319463,0.568653150915434,0.0983922702707413,0.62546647,3.1033510515168765,27,True,True,True,True,high_magnitude_target
HS852T_SKIN,ACH-000274,skin,0.4828207655778553,False,False,0.561321243762972,0.5609529895748109,0.1045434317405041,0.5980522,1.8100339976688546,32,True,True,False,True,high_magnitude_target
HUCCT1_BILIARY_TRACT,ACH-000976,bile_duct,0.6568972210247719,False,True,0.3586719344024285,0.3587259151334783,0.2062009216792368,0.43151587,2.8752163405693314,40,False,True,False,False,not_high_error
IGR1_SKIN,ACH-000882,skin,0.6345331360552684,True,False,0.2907365749200573,0.291126736722564,0.1981752073918896,0.3418663,2.273463837591795,106,False,False,False,False,not_high_error
IGROV1_OVARY,ACH-000966,ovary,0.2264934766630955,False,False,0.2134336500884943,0.2147034316932629,0.1527563761294176,0.24610113,2.3516411690502963,140,False,False,False,False,not_high_error
ISTMES1_PLEURA,ACH-000569,mesothelioma,0.015084115349824,False,False,0.3102029294771918,0.311136521457952,0.0638135707984528,0.3479701,2.735958522088535,39,False,False,False,False,not_high_error
