outer_fold,model,inner_fold,dimension,alpha,mean_rmse
1,B4,0,10,10.0,0.3263854059547761
1,B4,0,10,100.0,0.3202259496025445
1,B3,0,20,,0.4312701388446914
1,B4,0,20,0.01,0.3318883022856827
1,B4,0,20,0.1,0.3318322428345682
1,B4,0,20,1.0,0.3312879008232656
1,B4,0,20,10.0,0.32714435014548804
1,B4,0,20,100.0,0.3196263710951405
1,B3,0,30,,0.4425742759115957
1,B4,0,30,0.01,0.33392635207515176
1,B4,0,30,0.1,0.33386272682464846
1,B4,0,30,1.0,0.3332446864651775
1,B4,0,30,10.0,0.3285233450197381
1,B4,0,30,100.0,0.3197060581481525
1,B3,1,5,,0.45793472532901763
1,B4,1,5,0.01,0.30535660161822664
1,B4,1,5,0.1,0.3053270714470071
1,B4,1,5,1.0,0.30504058845189075
1,B4,1,5,10.0,0.30287770304661876
1,B4,1,5,100.0,0.2991806909691212
1,B3,1,10,,0.44225809007890615
1,B4,1,10,0.01,0.3114587812004932
1,B4,1,10,0.1,0.31140437124225545
1,B4,1,10,1.0,0.31087562210010306
1,B4,1,10,10.0,0.3068209975286097
1,B4,1,10,100.0,0.2990626762899813
1,B3,1,20,,0.4169258358671638
1,B4,1,20,0.01,0.3167345337503119
1,B4,1,20,0.1,0.31666215780402607
1,B4,1,20,1.0,0.31595818722500413
1,B4,1,20,10.0,0.3105148326235659
1,B4,1,20,100.0,0.29945762177505597
1,B3,1,30,,0.4239671393828586
1,B4,1,30,0.01,0.32072792436682024
1,B4,1,30,0.1,0.3206419110845607
1,B4,1,30,1.0,0.31980488223703946
1,B4,1,30,10.0,0.31330360166200627
1,B4,1,30,100.0,0.29972281803084266
1,B3,2,5,,0.4230618808340958
1,B4,2,5,0.01,0.3103460157609913
1,B4,2,5,0.1,0.3103249701119943
1,B4,2,5,1.0,0.31012088401967264
1,B4,2,5,10.0,0.3085868747554133
1,B4,2,5,100.0,0.30612072281524927
1,B3,2,10,,0.4020443666350871
1,B4,2,10,0.01,0.3140245319061259
1,B4,2,10,0.1,0.31398856667915764
1,B4,2,10,1.0,0.3136392764084084
1,B4,2,10,10.0,0.3109757705094777
1,B4,2,10,100.0,0.30608932016185914
1,B3,2,20,,0.4021764460227517
1,B4,2,20,0.01,0.31803972691491805
1,B4,2,20,0.1,0.31798961623721494
1,B4,2,20,1.0,0.3175024421613882
1,B4,2,20,10.0,0.3137513408140548
1,B4,2,20,100.0,0.3063353332703346
1,B3,2,30,,0.4092986381932709
1,B4,2,30,0.01,0.3205587934296275
1,B4,2,30,0.1,0.3204994650918331
1,B4,2,30,1.0,0.3199224681643854
1,B4,2,30,10.0,0.31546488997900063
1,B4,2,30,100.0,0.30643958239442537
1,B3,3,5,,0.4635402896872601
1,B4,3,5,0.01,0.35915057747841905
1,B4,3,5,0.1,0.3591306479355458
1,B4,3,5,1.0,0.3589375947278049
1,B4,3,5,10.0,0.35750071892659085
1,B4,3,5,100.0,0.3553488071357932
1,B3,3,10,,0.4553297979757426
