cell_line,depmap_id,lineage,outer_fold,model,b2_fallback,b3_neighbor_cell_line,rmse_delta,nrmse_delta,pcc_delta,spearman_delta,signed_top50_overlap,pcc_context,rmse_gain_vs_b1,nrmse_gain_vs_b1
LN229_CENTRAL_NERVOUS_SYSTEM,ACH-000595,central_nervous_system,1,B3,False,SKMEL24_SKIN,0.47647661715481965,1.3188763354304096,0.30864497918969686,0.25806708591130734,0.24,0.09565190325200984,-0.1625348747666573,-0.4498928012289789
LN229_CENTRAL_NERVOUS_SYSTEM,ACH-000595,central_nervous_system,1,B4,False,,0.31239417182979984,0.8646998944311921,0.49223963924564984,0.3752902545574302,0.22,0.10760918924473013,0.001547570558362521,0.004283639770238601
MDAMB435S_SKIN,ACH-000884,skin,1,B0,False,,0.3077737797340963,1.0,,,0.0,0.027420848239621227,-0.03761583051823636,-0.12221908750880228
MDAMB435S_SKIN,ACH-000884,skin,1,B1,False,,0.27015794921585995,0.8777809124911977,0.48684762880277144,0.37757367289008253,0.19,,0.0,0.0
MDAMB435S_SKIN,ACH-000884,skin,1,B2,False,,0.34095956352206763,1.1078252468960885,0.3880993783542956,0.30065065742387087,0.17,0.03869609898283936,-0.07080161430620768,-0.2300443344048908
MDAMB435S_SKIN,ACH-000884,skin,1,B3,False,SKMEL24_SKIN,0.45997526115556836,1.494523872543554,0.2987475664171372,0.26027464914320175,0.19,0.06958389854955563,-0.1898173119397084,-0.6167429600523562
MDAMB435S_SKIN,ACH-000884,skin,1,B4,False,,0.27169508409246884,0.8827752784113125,0.4885122088203226,0.37592191405972325,0.19,0.07886821982173974,-0.0015371348766088921,-0.004994365920114818
NCIH1355_LUNG,ACH-000666,lung,1,B0,False,,0.3776795085448789,1.0,,,0.0,-0.04549023429089448,-0.04638094649094204,-0.12280503824429934
NCIH1355_LUNG,ACH-000666,lung,1,B1,False,,0.3312985620539369,0.8771949617557007,0.4632607310443521,0.3640794622279401,0.13,,0.0,0.0
NCIH1355_LUNG,ACH-000666,lung,1,B2,False,,0.33913336157617796,0.8979395331316457,0.4203949877533749,0.3386852527842296,0.09999999999999999,-0.016231114959076646,-0.007834799522241087,-0.020744571375944987
NCIH1355_LUNG,ACH-000666,lung,1,B3,False,NCIH1793_LUNG,0.45510141200236354,1.2049936565416939,0.19149306599390825,0.19629595959775034,0.05,0.014744434517740225,-0.12380284994842666,-0.3277986947859932
NCIH1355_LUNG,ACH-000666,lung,1,B4,False,,0.3318525430697102,0.8786617636425906,0.4610908224375433,0.3629379881273328,0.15000000000000002,0.03396948217565368,-0.0005539810157733083,-0.001466801886889968
NCIH2126_LUNG,ACH-000785,lung,1,B0,False,,0.2989996682688341,1.0,,,0.0,0.19977682500606064,-0.012460632505691405,-0.041674402442774316
NCIH2126_LUNG,ACH-000785,lung,1,B1,False,,0.2865390357631427,0.9583255975572257,0.33550270650743813,0.2566693294418051,0.24000000000000002,,0.0,0.0
NCIH2126_LUNG,ACH-000785,lung,1,B2,False,,0.2900585144451029,0.970096442328852,0.3216677559276808,0.24099643576342158,0.27,0.06025842465286826,-0.0035194786819601753,-0.011770844771626265
NCIH2126_LUNG,ACH-000785,lung,1,B3,False,NCIH1650_LUNG,0.446588425452827,1.4936084312016498,0.1312779543116224,0.13010889955591357,0.11000000000000001,0.010877890433342764,-0.1600493896896843,-0.5352828336444241
NCIH2126_LUNG,ACH-000785,lung,1,B4,False,,0.288483976542078,0.9648304234327735,0.3357982077593003,0.2541778177661937,0.25,0.035607593650864765,-0.0019449407789353113,-0.006504825875547793
NCIH522_LUNG,ACH-000343,lung,1,B0,False,,0.337081006525598,1.0,,,0.0,0.20871650123282406,-0.00751218804893955,-0.02228600218793131
NCIH522_LUNG,ACH-000343,lung,1,B1,False,,0.3295688184766585,0.9777139978120687,0.2646424726699171,0.2356378043990665,0.13,,0.0,0.0
NCIH522_LUNG,ACH-000343,lung,1,B2,False,,0.33238147053268424,0.9860581406192137,0.25614483849255626,0.2209530124127052,0.14,0.058819343790942356,-0.002812652056025766,-0.008344142807145016
NCIH522_LUNG,ACH-000343,lung,1,B3,False,NCIH1299_LUNG,0.3689338596418897,1.0944961374258646,0.16991778888613418,0.1583403059931779,0.15000000000000002,0.038922124516251724,-0.03936504116523121,-0.11678213961379591
NCIH522_LUNG,ACH-000343,lung,1,B4,False,,0.3242609460966277,0.9619674197573136,0.28666450782819447,0.24754976544826454,0.12000000000000001,0.18587923962956573,0.005307872380030776,0.0157465780547551
NCIH841_LUNG,ACH-000292,lung,1,B0,False,,0.26456890998923144,1.0,,,0.0,0.18384990817370347,-0.02303540187971878,-0.08706768259602526
NCIH841_LUNG,ACH-000292,lung,1,B1,False,,0.24153350810951266,0.9129323174039747,0.429068679726105,0.3574828532167788,0.22,,0.0,0.0
NCIH841_LUNG,ACH-000292,lung,1,B2,False,,0.24726252212808741,0.9345864642151324,0.4029183691192064,0.3332580963246911,0.23,0.048131747432920056,-0.005729014018574757,-0.021654146811157626
NCIH841_LUNG,ACH-000292,lung,1,B3,False,NCIH1299_LUNG,0.2902087534380319,1.0969117779176851,0.2917370792997911,0.26216702496630623,0.22,0.0665446020430209,-0.04867524532851922,-0.1839794605137104
NCIH841_LUNG,ACH-000292,lung,1,B4,False,,0.2364489177306364,0.8937139202798258,0.45202740975020306,0.36717825291725925,0.28,0.2035615489489375,0.005084590378876264,0.019218397124148967
PANC0403_PANCREAS,ACH-000235,pancreas,1,B0,False,,0.4349897452504876,1.0,,,0.0,-0.12917874001365862,-0.05255897424794598,-0.12082807657380534
PANC0403_PANCREAS,ACH-000235,pancreas,1,B1,False,,0.38243077100254164,0.8791719234261947,0.47882314377045065,0.3719082116499875,0.16999999999999998,,0.0,0.0
PANC0403_PANCREAS,ACH-000235,pancreas,1,B2,False,,0.41581909050087407,0.9559284903634356,0.39630953049997336,0.3106092867597877,0.12000000000000001,0.11197015993489338,-0.03338831949833243,-0.07675656693724098
PANC0403_PANCREAS,ACH-000235,pancreas,1,B3,False,SW900_LUNG,0.5125528696895661,1.1783102367031986,0.29948552276675744,0.26172734685215326,0.1,0.07968607616825346,-0.1301220986870245,-0.2991383132770039
PANC0403_PANCREAS,ACH-000235,pancreas,1,B4,False,,0.37567968128542,0.8636518110768012,0.4996762449617434,0.3823110671312643,0.21000000000000002,0.2009957980637364,0.006751089717121628,0.015520112349393433
SKUT1_SOFT_TISSUE,ACH-000939,soft_tissue,1,B0,False,,0.30318759081807356,1.0,,,0.0,0.11995453662254296,-0.02460925615105891,-0.08116841485714232
SKUT1_SOFT_TISSUE,ACH-000939,soft_tissue,1,B1,False,,0.27857833466701465,0.9188315851428577,0.4091074720252844,0.3119743581088812,0.23,,0.0,0.0
SKUT1_SOFT_TISSUE,ACH-000939,soft_tissue,1,B2,True,,0.27857833466701465,0.9188315851428577,0.4091074720252844,0.3119743581088812,0.23,,0.0,0.0
SKUT1_SOFT_TISSUE,ACH-000939,soft_tissue,1,B3,False,CAL62_THYROID,0.36539931998777003,1.2051922013095395,0.28175252613332347,0.24952422909097854,0.13,-0.007529025046454009,-0.08682098532075538,-0.28636061616668185
SKUT1_SOFT_TISSUE,ACH-000939,soft_tissue,1,B4,False,,0.27542170950464484,0.9084201261716891,0.4247033665452153,0.3257296682812264,0.24,0.1484476713000484,0.0031566251623698083,0.010411458971168575
SNU1214_UPPER_AERODIGESTIVE_TRACT,ACH-000715,upper_aerodigestive,1,B0,False,,0.617080770839692,1.0,,,0.0,-0.11369367394037952,-0.04218161156410849,-0.06835671042983549
SNU1214_UPPER_AERODIGESTIVE_TRACT,ACH-000715,upper_aerodigestive,1,B1,False,,0.5748991592755835,0.9316432895701645,0.3641045759969816,0.30906520784658914,0.060000000000000005,,0.0,0.0
SNU1214_UPPER_AERODIGESTIVE_TRACT,ACH-000715,upper_aerodigestive,1,B2,True,,0.5748991592755835,0.9316432895701645,0.3641045759969816,0.30906520784658914,0.060000000000000005,,0.0,0.0
SNU1214_UPPER_AERODIGESTIVE_TRACT,ACH-000715,upper_aerodigestive,1,B3,False,SNU1041_UPPER_AERODIGESTIVE_TRACT,0.653856919630638,1.0595969774603458,0.22896556574890134,0.22337817406842808,0.05,0.06866848985480231,-0.07895776035505442,-0.12795368789018124
SNU1214_UPPER_AERODIGESTIVE_TRACT,ACH-000715,upper_aerodigestive,1,B4,False,,0.5715313341015437,0.9261856163883262,0.3718853447647019,0.3033155250173418,0.060000000000000005,0.10989662023008773,0.0033678251740398846,0.005457673181838318
TEN_ENDOMETRIUM,ACH-000397,uterus,1,B0,False,,0.32385757053791503,1.0,,,0.01,0.14041870379138938,-0.01962395888208185,-0.06059441145528022
TEN_ENDOMETRIUM,ACH-000397,uterus,1,B1,False,,0.3042336116558332,0.9394055885447198,0.3551632224240747,0.2839783083194985,0.16,,0.0,0.0
TEN_ENDOMETRIUM,ACH-000397,uterus,1,B2,False,,0.3536477364030534,1.0919853928863175,0.20349120255774564,0.16538802577971332,0.12000000000000001,0.05158786781301764,-0.049414124747220234,-0.15257980434159768
TEN_ENDOMETRIUM,ACH-000397,uterus,1,B3,False,OAW42_OVARY,0.33845253881576176,1.0450660092756363,0.25673911832154894,0.2230085662448449,0.14,0.08756194110400009,-0.03421892715992858,-0.10566042073091653
TEN_ENDOMETRIUM,ACH-000397,uterus,1,B4,False,,0.3030199241699239,0.935657992081579,0.3626189747029695,0.2896635282397365,0.17,0.09030286220789793,0.0012136874859092761,0.003747596463140823
TUHR4TKB_KIDNEY,ACH-000495,kidney,1,B0,False,,0.35107236585564683,1.0,,,0.0,0.09201535981729177,-0.02251914888517953,-0.06414389475028892
TUHR4TKB_KIDNEY,ACH-000495,kidney,1,B1,False,,0.3285532169704673,0.9358561052497111,0.3621593460821815,0.2920966078107196,0.12,,0.0,0.0
TUHR4TKB_KIDNEY,ACH-000495,kidney,1,B2,False,,0.3410083304130826,0.9713334445505678,0.32796773734133866,0.2572929963517609,0.16999999999999998,0.11885886624877127,-0.012455113442615295,-0.035477339300856725
TUHR4TKB_KIDNEY,ACH-000495,kidney,1,B3,False,786O_KIDNEY,0.3618880379878638,1.030807529113995,0.25088877086893374,0.2124016604145921,0.13,0.10066794137779901,-0.03333482101739649,-0.09495142386428401
TUHR4TKB_KIDNEY,ACH-000495,kidney,1,B4,False,,0.32607985754957813,0.9288109497164324,0.377946811375426,0.29771967750261535,0.14,0.12097287032905954,0.002473359420889165,0.007045155533278669
42MGBA_CENTRAL_NERVOUS_SYSTEM,ACH-000323,central_nervous_system,2,B0,False,,0.23937428561352872,1.0,,,0.0,0.18892335291038195,-0.025387963266252533,-0.10605969309185348
42MGBA_CENTRAL_NERVOUS_SYSTEM,ACH-000323,central_nervous_system,2,B1,False,,0.2139863223472762,0.8939403069081465,0.48163786353599325,0.36363958858780554,0.3,,0.0,0.0
42MGBA_CENTRAL_NERVOUS_SYSTEM,ACH-000323,central_nervous_system,2,B2,False,,0.24234717393504523,1.0124194138643456,0.4041082327797602,0.3189117653580738,0.31000000000000005,0.12594784289884922,-0.028360851587769048,-0.11847910695619912
42MGBA_CENTRAL_NERVOUS_SYSTEM,ACH-000323,central_nervous_system,2,B3,False,SNB75_CENTRAL_NERVOUS_SYSTEM,0.3890608118320661,1.6253241689468985,0.19927949655687163,0.20280753438548166,0.11000000000000001,0.05693398207919562,-0.1750744894847899,-0.7313838620387519
42MGBA_CENTRAL_NERVOUS_SYSTEM,ACH-000323,central_nervous_system,2,B4,False,,0.21205638308105731,0.8858778733795312,0.4990349356134704,0.3761732220617931,0.32,0.13918911293081204,0.001929939266218872,0.008062433528615354
786O_KIDNEY,ACH-000649,kidney,2,B0,False,,0.2129598305101538,1.0,,,0.0,0.2549658456948954,-0.019734349451083016,-0.09266700393125127
786O_KIDNEY,ACH-000649,kidney,2,B1,False,,0.19322548105907078,0.9073329960687487,0.500984997572716,0.37082882023345987,0.35,,0.0,0.0
786O_KIDNEY,ACH-000649,kidney,2,B2,False,,0.2241410651433915,1.0525039609885705,0.4432278055148663,0.3253849554209891,0.37,0.17084393917340446,-0.030915584084320713,-0.14517096491982173
786O_KIDNEY,ACH-000649,kidney,2,B3,False,RCC10RGB_KIDNEY,0.3221970798196845,1.512947672093129,0.326289431464547,0.25793603910564683,0.24,0.09638062605023945,-0.1289715987606137,-0.6056146760243802
786O_KIDNEY,ACH-000649,kidney,2,B4,False,,0.18786838425005256,0.8821775627826446,0.5308396445376977,0.38640459166891006,0.38,0.21560521277628883,0.005357096809018219,0.025155433286104145
CAOV3_OVARY,ACH-000713,ovary,2,B0,False,,0.3275239238416982,1.0,,,0.0,0.03488003900741766,-0.033248226408333414,-0.10151388643109704
CAOV3_OVARY,ACH-000713,ovary,2,B1,False,,0.2942756974333648,0.898486113568903,0.4432175143403543,0.34965730729800765,0.23,,0.0,0.0
CAOV3_OVARY,ACH-000713,ovary,2,B2,False,,0.3236011453358575,0.988022925287935,0.3057554418971155,0.2511509810603031,0.16,0.00031431552915497354,-0.029325447902492696,-0.08953681171903205
CAOV3_OVARY,ACH-000713,ovary,2,B3,False,SW900_LUNG,0.48503912796786797,1.4809273236549934,0.22150979370747206,0.2027707274085641,0.09,-0.028372182819754857,-0.19076343053450318,-0.5824412100860904
CAOV3_OVARY,ACH-000713,ovary,2,B4,False,,0.29495466270714193,0.9005591385431193,0.4426750687483055,0.3439661190076815,0.24000000000000002,0.03584765345799207,-0.0006789652737771434,-0.002073024974216353
COLO680N_OESOPHAGUS,ACH-000717,esophagus,2,B0,False,,0.3106853136127886,1.0,,,0.0,0.02428301744537302,-0.036271304831726414,-0.11674611976326577
COLO680N_OESOPHAGUS,ACH-000717,esophagus,2,B1,False,,0.2744140087810622,0.8832538802367342,0.47849807614455847,0.3658441301423643,0.23,,0.0,0.0
COLO680N_OESOPHAGUS,ACH-000717,esophagus,2,B2,False,,0.31205641628937314,1.0044131557447653,0.35356115178778547,0.2768265156958528,0.23,0.08717688045325672,-0.03764240750831094,-0.12115927550803107
COLO680N_OESOPHAGUS,ACH-000717,esophagus,2,B3,False,NCIH1650_LUNG,0.43593432095916984,1.403137843530257,0.20229172538027568,0.19630908581528955,0.1,0.02549883923506941,-0.16152031217810764,-0.5198839632935228
COLO680N_OESOPHAGUS,ACH-000717,esophagus,2,B4,False,,0.27389474225602634,0.8815825217840362,0.48621512912659387,0.36408439356856276,0.25,0.0923451468004831,0.0005192665250358663,0.0016713584526980574
G401_SOFT_TISSUE,ACH-000096,rhabdoid,2,B0,False,,0.3188089444007618,1.0,,,0.0,0.09833053915512209,-0.027375316273378136,-0.0858674662495219
G401_SOFT_TISSUE,ACH-000096,rhabdoid,2,B1,False,,0.29143362812738366,0.9141325337504781,0.4000376366210209,0.35747076521489324,0.11000000000000001,,0.0,0.0
G401_SOFT_TISSUE,ACH-000096,rhabdoid,2,B2,True,,0.29143362812738366,0.9141325337504781,0.4000376366210209,0.35747076521489324,0.11000000000000001,,0.0,0.0
G401_SOFT_TISSUE,ACH-000096,rhabdoid,2,B3,False,A2780_OVARY,0.3826168786123219,1.2001447429007819,0.27035867289535936,0.2652294708902243,0.1,0.06741555938486311,-0.09118325048493825,-0.2860122091503038
G401_SOFT_TISSUE,ACH-000096,rhabdoid,2,B4,False,,0.28992439907303846,0.9093985729226789,0.4068264256593151,0.36131282629957673,0.12000000000000001,0.11088731382143498,0.0015092290543451958,0.0047339608277992
HCC1143_BREAST,ACH-000374,breast,2,B0,False,,0.32728387779161977,1.0,,,0.0,0.05893617317299368,-0.02680316041301717,-0.0818957554337052
HCC1143_BREAST,ACH-000374,breast,2,B1,False,,0.3004807173786026,0.9181042445662948,0.4208695056735776,0.3236521292988962,0.23,,0.0,0.0
HCC1143_BREAST,ACH-000374,breast,2,B2,False,,0.3388835250091948,1.0354421589472869,0.27226715723148043,0.2309182241162963,0.2,0.01292124305378079,-0.03840280763059217,-0.11733791438099206
HCC1143_BREAST,ACH-000374,breast,2,B3,False,NCIH1650_LUNG,0.4531157852824118,1.384473284598848,0.17659470767515503,0.18114539868466442,0.11000000000000001,0.021502938809165796,-0.1526350679038092,-0.4663690400325533
HCC1143_BREAST,ACH-000374,breast,2,B4,False,,0.30103112053208914,0.9197859746814487,0.4207666277350678,0.32265298188346553,0.22999999999999998,0.027659281499340688,-0.0005504031534865339,-0.0016817301151539343
HS766T_PANCREAS,ACH-000178,pancreas,2,B0,False,,0.6254664484963456,1.0,,,0.0,-0.18696833778724659,-0.05500228323842915,-0.08793802348736302
HS766T_PANCREAS,ACH-000178,pancreas,2,B1,False,,0.5704641652579164,0.912061976512637,0.4269205992651434,0.36396198004400787,0.07,,0.0,0.0
HS766T_PANCREAS,ACH-000178,pancreas,2,B2,False,,0.5800616197537549,0.9274064518540582,0.3537135435880455,0.308873815513752,0.09,0.10398473196564935,-0.009597454495838487,-0.015344475341421249
HS766T_PANCREAS,ACH-000178,pancreas,2,B3,False,8505C_THYROID,0.6313340801141841,1.009381209227041,0.23636326253507636,0.24043623419884444,0.05,0.027783872990774245,-0.06086991485626769,-0.09731923271440412
HS766T_PANCREAS,ACH-000178,pancreas,2,B4,False,,0.5685891724319463,0.9090642252655834,0.4275639185391438,0.3623590746873545,0.07,0.09839227027074135,0.0018749928259701454,0.0029977512470535927
IGR1_SKIN,ACH-000882,skin,2,B0,False,,0.34186633611041084,1.0,,,0.0,-0.04525439888706625,-0.045746423733545705,-0.1338137713529396
IGR1_SKIN,ACH-000882,skin,2,B1,False,,0.29611991237686514,0.8661862286470604,0.4953404554946881,0.39548723379944306,0.19,,0.0,0.0
IGR1_SKIN,ACH-000882,skin,2,B2,False,,0.32597104000628124,0.9535043541140127,0.48651455766288115,0.3776697202840966,0.22999999999999998,0.18714812712400394,-0.029851127629416108,-0.08731812546695228
IGR1_SKIN,ACH-000882,skin,2,B3,False,UACC257_SKIN,0.42760424078271586,1.2507936453989277,0.4247020443912443,0.35228490609583313,0.09,0.21471107966166492,-0.13148432840585073,-0.38460741675186727
IGR1_SKIN,ACH-000882,skin,2,B4,False,,0.29073657492005733,0.850439321484288,0.5228647473085988,0.4094147611902619,0.2,0.19817520739188965,0.005383337456807802,0.015746907162772383
LUDLU1_LUNG,ACH-000390,lung,2,B0,False,,0.3449928172445567,1.0,,,0.0,0.08464232228913775,-0.023726990671354642,-0.06877531787722746
LUDLU1_LUNG,ACH-000390,lung,2,B1,False,,0.3212658265732021,0.9312246821227725,0.371929365835909,0.2845418969731418,0.19,,0.0,0.0
LUDLU1_LUNG,ACH-000390,lung,2,B2,False,,0.3248849175707771,0.9417150193607491,0.3504072925494008,0.26949004377462615,0.16999999999999998,0.05539200279837253,-0.003619090997575014,-0.010490337237976544
LUDLU1_LUNG,ACH-000390,lung,2,B3,False,TE6_OESOPHAGUS,0.4567977533369363,1.3240790257181612,0.19066864097279643,0.16483582430331284,0.15,0.0556377010656634,-0.1355319267637342,-0.3928543435953886
LUDLU1_LUNG,ACH-000390,lung,2,B4,False,,0.3215508359445547,0.9320508134423431,0.37675917835366424,0.285601242115888,0.2,0.0791555424876389,-0.00028500937135261806,-0.0008261313195705444
MSTO211H_PLEURA,ACH-000335,mesothelioma,2,B0,False,,0.29330455611681283,1.0,,,0.0,-0.05180280619473304,-0.056821609094517916,-0.19372903662597007
MSTO211H_PLEURA,ACH-000335,mesothelioma,2,B1,False,,0.23648294702229491,0.8062709633740299,0.5788991331086513,0.44480247517305693,0.25,,0.0,0.0
MSTO211H_PLEURA,ACH-000335,mesothelioma,2,B2,False,,0.2896838211299323,0.9876553742130125,0.39466140692898855,0.3273915833980049,0.25,0.06140247952172227,-0.05320087410763738,-0.1813844108389826
MSTO211H_PLEURA,ACH-000335,mesothelioma,2,B3,False,8505C_THYROID,0.3559379525857644,1.2135438920492148,0.3572396734183146,0.3144161074428161,0.2,0.0775695058300109,-0.11945500556346947,-0.40727292867518483
MSTO211H_PLEURA,ACH-000335,mesothelioma,2,B4,False,,0.236143989967976,0.8051153145876404,0.5855332299728822,0.44435044632365955,0.28,0.11139416266216923,0.0003389570543189113,0.0011556487863895182
