row_index,outer_fold,b1_rmse,b4_rmse,rmse_gain_vs_b1,b4_pcc,b4_spearman,repeat,cell_line
17,0,0.5328614010346198,0.5318366395289084,0.0010247615057114023,0.18350638230931055,0.16176358795626272,1,DMS273_LUNG
18,4,0.5319434513897768,0.5355507248826078,-0.0036072734928309647,0.24332672803686892,0.21174298287645124,1,EFM192A_BREAST
19,2,0.6259357823578527,0.6298326032511902,-0.003896820893337427,0.22474026775931938,0.20164194417343567,1,G401_SOFT_TISSUE
20,1,0.477457750064142,0.47787111679027816,-0.0004133667261361773,0.27968043403256876,0.24935005090450924,1,GCIY_STOMACH
21,1,0.5430842880023492,0.5455531283735114,-0.0024688403711622398,0.2191935273429372,0.18629990995468224,1,GP2D_LARGE_INTESTINE
22,2,0.5944127483283091,0.593992534290591,0.00042021403771819177,0.3018609220813998,0.22214429306326963,1,HCC1143_BREAST
23,0,0.4488584046958711,0.448293676548506,0.0005647281473651344,0.3307433073747592,0.25601003898821845,1,HCC1195_LUNG
24,3,0.5769553645549291,0.5817251604669617,-0.004769795912032526,0.25539109898025497,0.20887554261424654,1,HCC1419_BREAST
25,4,0.489747811747344,0.492218929401476,-0.0024711176541319935,0.20485622391376523,0.1391124974878967,1,HEC1B_ENDOMETRIUM
26,3,0.5246653395678953,0.5308438007358495,-0.0061784611679541745,0.23307703073811437,0.16498100567097307,1,HEP3B217_LIVER
27,2,0.6684531175802285,0.663747554651866,0.00470556292836255,0.41709710731344657,0.35954865117370555,1,HS766T_PANCREAS
28,4,0.7398136043775257,0.7372574133582177,0.0025561910193080406,0.3099714449991132,0.25342392553542065,1,HS852T_SKIN
29,3,0.5319566177927764,0.5260464756324058,0.005910142160370557,0.44098503527333366,0.3473544840516793,1,HUCCT1_BILIARY_TRACT
30,2,0.6184765758553942,0.618792380707138,-0.00031580485174387274,0.3033683218791539,0.2496209198533284,1,IGR1_SKIN
31,4,0.48433699844036376,0.48667697350224454,-0.0023399750618807724,0.2711668763282691,0.2243263371503789,1,IGROV1_OVARY
32,0,0.514399911405898,0.5179129923003941,-0.00351308089449609,0.3175718527521782,0.2896355436988447,1,ISTMES1_PLEURA
33,0,0.5353093005057857,0.5361668960007523,-0.0008575954949665565,0.23428047155113088,0.17210334931271,1,J82_URINARY_TRACT
34,4,0.5477636242221957,0.5550230307258229,-0.007259406503627219,0.3591074700573829,0.2971969432199801,1,JHH5_LIVER
35,3,0.5306588790007646,0.5369486923289072,-0.006289813328142602,0.20491450095985947,0.16784044356298297,1,KNS42_CENTRAL_NERVOUS_SYSTEM
36,4,0.47444695407134785,0.4738772526113458,0.00056970146000207,0.28150342339767553,0.23476353784826734,1,KNS60_CENTRAL_NERVOUS_SYSTEM
37,0,0.6135336172476095,0.6157198560119176,-0.002186238764308124,0.26920016532320035,0.19793775538329642,1,KNS81_CENTRAL_NERVOUS_SYSTEM
38,3,0.511283577981697,0.515902249166749,-0.004618671185051992,0.27736811771563186,0.24642016991161797,1,KYSE270_OESOPHAGUS
39,1,0.5983562135288885,0.600155221108889,-0.0017990075800005112,0.23099635300447904,0.18628435466088256,1,LI7_LIVER
40,3,0.5669186860680739,0.5696917667118743,-0.0027730806438003297,0.19848234133812617,0.17666860567860554,1,LK2_LUNG
41,3,0.5223718861549979,0.5226399546657841,-0.0002680685107862013,0.28356907209087673,0.2524767933507941,1,LMSU_STOMACH
42,1,0.6060792080238627,0.6070267785867004,-0.000947570562837674,0.3041082050834755,0.2519487977858375,1,LN229_CENTRAL_NERVOUS_SYSTEM
43,4,0.492602492868878,0.4978195213297052,-0.005217028460827222,0.1945060426635369,0.16268468758977672,1,LNCAPCLONEFGC_PROSTATE
44,0,0.5252617870132268,0.524775094175662,0.00048669283756475057,0.34475952902919194,0.27823196604010947,1,LOVO_LARGE_INTESTINE
45,2,0.4965243300939605,0.500853456594924,-0.004329126500963454,0.25610483856404237,0.20862687385479575,1,LUDLU1_LUNG
46,0,0.8189085942061071,0.8117196629212479,0.007188931284859201,0.3303886513066508,0.25926926008139806,1,MALME3M_SKIN
47,1,0.5609338982561908,0.5664113608134129,-0.005477462557222146,0.2562451446118114,0.19288029788870706,1,MDAMB435S_SKIN
48,0,0.4939062675105669,0.4954036367093348,-0.0014973691987679172,0.263514943713949,0.19668766058064377,1,MDAMB468_BREAST
49,0,0.5165987887291473,0.5175973284305972,-0.0009985397014499187,0.4080308670146503,0.3278942399265928,1,MIAPACA2_PANCREAS
50,2,0.4511856516469291,0.4517704729721391,-0.0005848213252100387,0.36221270758609536,0.3055283126051502,1,MSTO211H_PLEURA
51,4,0.7109162128133678,0.7124151594205549,-0.0014989466071870794,0.1857086557204206,0.1587464669208615,1,NCIH1048_LUNG
52,3,0.4547085057367608,0.4554466720584459,-0.0007381663216851075,0.21995038502093137,0.16331135210233688,1,NCIH1299_LUNG
53,1,0.6291958768890049,0.6331425086929462,-0.003946631803941281,0.32555848448064373,0.2546282215407335,1,NCIH1355_LUNG
54,4,0.5304408474362289,0.5318403321491291,-0.0013994847129001897,0.26397604190112695,0.20941622592062403,1,NCIH1573_LUNG
55,2,0.5995066131722904,0.6013917958479654,-0.0018851826756750567,0.21693761312969453,0.17894859685449943,1,NCIH1581_LUNG
56,4,0.5586084380650734,0.5620047903756293,-0.0033963523105559057,0.2679767193405743,0.22935441009400004,1,NCIH1650_LUNG
57,3,0.5034686420348387,0.5054160410653153,-0.001947399030476693,0.281542264699585,0.23361822381517006,1,NCIH1693_LUNG
58,2,0.527348826283683,0.5297888329456211,-0.00244000666193811,0.21041065203439283,0.15905667634792123,1,NCIH1793_LUNG
59,2,0.6160958782981302,0.6163687304204273,-0.000272852122297107,0.3313041526579221,0.290802094951656,1,NCIH1915_LUNG
60,1,0.49848784069560137,0.5003136283103364,-0.0018257876147350638,0.24627131115754705,0.20650339760135222,1,NCIH2126_LUNG
61,0,0.5781704162533182,0.5762070915739879,0.0019633246793303583,0.3564413884783635,0.28412258705723237,1,NCIH2347_LUNG
62,0,0.5556274426685262,0.5565963336468486,-0.0009688909783224231,0.2783959764709068,0.2387552805290772,1,NCIH23_LUNG
63,2,0.5116059368875193,0.5105334402825992,0.0010724966049201479,0.3544735207348138,0.2733434233538637,1,NCIH2444_LUNG
