cell_line,depmap_id,disease,time_hours,model,rmse_delta,pcc_delta,spearman_delta,rmse_gain_vs_b1,external_test,temporal_response_used_for_fit
BICR31_UPPER_AERODIGESTIVE_TRACT,ACH-000228,head and neck cancer,6,B4_FIXED_D20_A100,0.36302800167210697,0.16020986027929718,0.1065885100686833,-0.00949982636708796,True,False
BICR6_UPPER_AERODIGESTIVE_TRACT,ACH-000415,head and neck cancer,6,B4_FIXED_D20_A100,0.4719486487230402,0.16985483914930496,0.15107192517031873,-0.002254287860752824,True,False
BT474_BREAST,ACH-000927,breast cancer,6,B4_FIXED_D20_A100,0.36036666723294025,0.13682701494726643,0.12916896516309295,-0.0012212023292549334,True,False
BT549_BREAST,ACH-000288,breast cancer,6,B4_FIXED_D20_A100,0.4301043445925406,0.06467411944475486,0.026051699486842196,0.00032643314517039057,True,False
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,ACH-000329,brain cancer,6,B4_FIXED_D20_A100,0.4177698059641461,0.0987471489860782,0.07271942898191497,-0.0020898114270665458,True,False
DKMG_CENTRAL_NERVOUS_SYSTEM,ACH-000244,brain cancer,6,B4_FIXED_D20_A100,0.4581708239512575,0.05903567272188739,0.031685127264332195,-0.006056962595307969,True,False
IALM_LUNG,ACH-000672,lung cancer,6,B4_FIXED_D20_A100,0.6363366330786246,0.03233556970168674,0.030469529517263175,-0.005778647830960049,True,False
LS1034_LARGE_INTESTINE,ACH-000252,colon/colorectal cancer,6,B4_FIXED_D20_A100,0.44678820047736384,0.2586521525544854,0.20445845171644883,0.0006778237026860978,True,False
NCIH226_LUNG,ACH-000367,lung cancer,6,B4_FIXED_D20_A100,0.35967682843830445,0.07336954942228105,0.05577920217616492,-0.004624331052526076,True,False
RCM1_LARGE_INTESTINE,ACH-000565,colon/colorectal cancer,6,B4_FIXED_D20_A100,0.2894431847429829,0.27582480166035306,0.19064314835563376,-0.0015298748667320616,True,False
RERFLCAD1_LUNG,ACH-000791,lung cancer,6,B4_FIXED_D20_A100,0.4281834499103041,0.15256820860104672,0.07180363792236467,-0.011521128994501473,True,False
SH10TC_STOMACH,ACH-000764,gastric cancer,6,B4_FIXED_D20_A100,0.3020530214165951,0.11744644254624205,0.05435347744415833,0.0009386302729896268,True,False
SKMEL2_SKIN,ACH-001190,skin cancer,6,B4_FIXED_D20_A100,0.32423260052028585,0.2332648500708339,0.15494238043048617,-0.003245306431629069,True,False
SKMEL3_SKIN,ACH-000423,skin cancer,6,B4_FIXED_D20_A100,0.3890335763778363,0.14983938107548986,0.1288840706229381,-0.008809895825997172,True,False
SNU1079_BILIARY_TRACT,ACH-000209,bile duct cancer,6,B4_FIXED_D20_A100,0.5109146854758562,0.24355075416239008,0.19400346308489996,-0.0007908412414794341,True,False
SQ1_LUNG,ACH-000553,lung cancer,6,B4_FIXED_D20_A100,0.31842755947504,0.11256072306754644,0.05948987765256416,-0.017493410930128794,True,False
UMUC1_URINARY_TRACT,ACH-000834,bladder cancer,6,B4_FIXED_D20_A100,0.27489668901396236,0.28286235343546395,0.19490550062914255,-0.007130448283411417,True,False
BICR31_UPPER_AERODIGESTIVE_TRACT,ACH-000228,head and neck cancer,6,CCLR_FIXED_D20_R20_A100,0.3627292282558829,0.15871503182656713,0.10574599043022669,-0.009201052950863875,True,False
BICR6_UPPER_AERODIGESTIVE_TRACT,ACH-000415,head and neck cancer,6,CCLR_FIXED_D20_R20_A100,0.471365435798054,0.17063622247052662,0.15136031730411476,-0.0016710749357666255,True,False
BT474_BREAST,ACH-000927,breast cancer,6,CCLR_FIXED_D20_R20_A100,0.3584417110410397,0.13576413113204244,0.13198028227773206,0.0007037538626455953,True,False
BT549_BREAST,ACH-000288,breast cancer,6,CCLR_FIXED_D20_R20_A100,0.4286924124838551,0.06620928851778442,0.027634755111921937,0.0017383652538559002,True,False
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,ACH-000329,brain cancer,6,CCLR_FIXED_D20_R20_A100,0.41659387541562604,0.09802142065646303,0.07262942806467071,-0.0009138808785464914,True,False
DKMG_CENTRAL_NERVOUS_SYSTEM,ACH-000244,brain cancer,6,CCLR_FIXED_D20_R20_A100,0.4568645428687538,0.059432861891841764,0.03551018042651427,-0.004750681512804222,True,False
IALM_LUNG,ACH-000672,lung cancer,6,CCLR_FIXED_D20_R20_A100,0.6359675443428786,0.026947669710474575,0.028069666286385183,-0.005409559095214012,True,False
LS1034_LARGE_INTESTINE,ACH-000252,colon/colorectal cancer,6,CCLR_FIXED_D20_R20_A100,0.446974863898827,0.25328213157873003,0.20415965807061398,0.0004911602812229243,True,False
NCIH226_LUNG,ACH-000367,lung cancer,6,CCLR_FIXED_D20_R20_A100,0.357749232895207,0.0716567170417763,0.05614158984008805,-0.002696735509428616,True,False
RCM1_LARGE_INTESTINE,ACH-000565,colon/colorectal cancer,6,CCLR_FIXED_D20_R20_A100,0.2884843512474539,0.2735339361308906,0.19082869276069647,-0.0005710413712030626,True,False
RERFLCAD1_LUNG,ACH-000791,lung cancer,6,CCLR_FIXED_D20_R20_A100,0.4277866170895999,0.1490518154931351,0.06880291158305671,-0.011124296173797288,True,False
SH10TC_STOMACH,ACH-000764,gastric cancer,6,CCLR_FIXED_D20_R20_A100,0.30166194647634825,0.11615606648344504,0.055236119904143566,0.0013297052132364984,True,False
SKMEL2_SKIN,ACH-001190,skin cancer,6,CCLR_FIXED_D20_R20_A100,0.32517646398591277,0.22657393986201332,0.1525561523896925,-0.004189169897255984,True,False
SKMEL3_SKIN,ACH-000423,skin cancer,6,CCLR_FIXED_D20_R20_A100,0.38903741306667783,0.1474133174512284,0.12525841129935963,-0.00881373251483869,True,False
SNU1079_BILIARY_TRACT,ACH-000209,bile duct cancer,6,CCLR_FIXED_D20_R20_A100,0.5106479866713991,0.24427931981456355,0.19701192370870874,-0.000524142437022368,True,False
SQ1_LUNG,ACH-000553,lung cancer,6,CCLR_FIXED_D20_R20_A100,0.317152173497624,0.10997280395849568,0.058128585772988295,-0.016218024952712795,True,False
