component,direction,rank,gene_id,gene_symbol,loading
3,positive,13,ENSG00000102547,CAB39L,0.04591632356364132
3,positive,14,ENSG00000164822,DEFA6,0.04505905546657448
3,positive,15,ENSG00000168955,TM4SF20,0.045053790204561864
3,positive,16,ENSG00000111252,SH2B3,0.044732219966824964
3,positive,17,ENSG00000078814,MYH7B,0.04459571959978532
3,positive,18,ENSG00000123104,ITPR2,0.04297144594161775
3,positive,19,ENSG00000162490,DRAXIN,0.04254495891632343
3,positive,20,ENSG00000176170,SPHK1,0.042096617281881465
3,positive,21,ENSG00000170545,SMAGP,0.04074592289632106
3,positive,22,ENSG00000197181,PIWIL2,0.040743497667250245
3,positive,23,ENSG00000111186,WNT5B,0.040734629052154546
3,positive,24,ENSG00000139289,PHLDA1,0.04021381003827753
3,positive,25,ENSG00000170412,GPRC5C,0.04012873570345936
4,negative,1,ENSG00000139318,DUSP6,-0.05423303286893488
4,negative,2,ENSG00000120738,EGR1,-0.047371831033265206
4,negative,3,ENSG00000138678,AGPAT9,-0.04032715727948835
4,negative,4,ENSG00000108700,CCL8,-0.039556357887258885
4,negative,5,ENSG00000240350,AC017002.1,-0.03854942452173205
4,negative,6,ENSG00000158050,DUSP2,-0.037521818113675345
4,negative,7,ENSG00000270190,RP11-803D5.4,-0.03649176788011512
4,negative,8,ENSG00000121454,LHX4,-0.03590731555833762
4,negative,9,ENSG00000124882,EREG,-0.0357616968824684
4,negative,10,ENSG00000251493,FOXD1,-0.03556982895567976
4,negative,11,ENSG00000231298,LINC00704,-0.03409593146206557
4,negative,12,ENSG00000144834,TAGLN3,-0.03359613722333085
4,negative,13,ENSG00000105889,STEAP1B,-0.03348821384685158
4,negative,14,ENSG00000158292,GPR153,-0.03295324433779768
4,negative,15,ENSG00000261373,VPS9D1-AS1,-0.03283308614914266
4,negative,16,ENSG00000231889,TRAF3IP2-AS1,-0.03178235145493116
4,negative,17,ENSG00000175592,FOSL1,-0.03176929442457676
4,negative,18,ENSG00000173530,TNFRSF10D,-0.03149915445715095
4,negative,19,ENSG00000175920,DOK7,-0.031380512575564665
4,negative,20,ENSG00000107796,ACTA2,-0.03137659529060185
4,negative,21,ENSG00000198924,DCLRE1A,-0.031368977354995636
4,negative,22,ENSG00000242028,HYPK,-0.03135711459374093
4,negative,23,ENSG00000111341,MGP,-0.031114385521614638
4,negative,24,ENSG00000188042,ARL4C,-0.030732552292686323
4,negative,25,ENSG00000164379,FOXQ1,-0.030648280130661204
4,positive,1,ENSG00000169583,CLIC3,0.06044815859025577
4,positive,2,ENSG00000127954,STEAP4,0.053661694342447976
4,positive,3,ENSG00000162654,GBP4,0.052721453033903354
4,positive,4,ENSG00000173391,OLR1,0.05242180494403917
4,positive,5,ENSG00000166920,C15orf48,0.05109906887592684
4,positive,6,ENSG00000185499,MUC1,0.04980742223077284
4,positive,7,ENSG00000237649,KIFC1,0.049491765706724374
4,positive,8,ENSG00000186832,KRT16,0.04818921077959974
4,positive,9,ENSG00000169607,CKAP2L,0.046016154642111
4,positive,10,ENSG00000235109,ZSCAN31,0.04549355283723211
4,positive,11,ENSG00000121858,TNFSF10,0.045428065295877666
4,positive,12,ENSG00000015568,RGPD5,0.04522270728592234
4,positive,13,ENSG00000245648,RP11-277P12.20,0.0452162049048239
4,positive,14,ENSG00000264443,RP4-594I10.3,0.04519162655183283
4,positive,15,ENSG00000143147,GPR161,0.04513438345670044
4,positive,16,ENSG00000163535,SGOL2,0.045073424273083536
4,positive,17,ENSG00000169245,CXCL10,0.04403547259615001
4,positive,18,ENSG00000169679,BUB1,0.04335737846634172
4,positive,19,ENSG00000131747,TOP2A,0.04330738061664058
4,positive,20,ENSG00000118193,KIF14,0.04279363018085597
4,positive,21,ENSG00000162927,PUS10,0.04261405176909023
4,positive,22,ENSG00000066279,ASPM,0.042561324439667446
4,positive,23,ENSG00000110195,FOLR1,0.04250391606215865
4,positive,24,ENSG00000184661,CDCA2,0.04233488430434475
4,positive,25,ENSG00000177409,SAMD9L,0.042277353105153084
5,negative,1,ENSG00000069482,GAL,-0.054664414814251765
5,negative,2,ENSG00000125965,GDF5,-0.047219424094684166
5,negative,3,ENSG00000225783,MIAT,-0.04693608803223627
5,negative,4,ENSG00000168916,ZNF608,-0.044518399782331075
5,negative,5,ENSG00000187634,SAMD11,-0.042672085508248137
5,negative,6,ENSG00000168952,STXBP6,-0.0419116175915964
5,negative,7,ENSG00000151687,ANKAR,-0.04187159591950364
5,negative,8,ENSG00000123836,PFKFB2,-0.041288373674490404
