outer_fold,component,n_test_lines,observed_vs_predicted_pcc,score_rmse,explained_variance_ratio
3,14,18,0.6462816758011906,1.9966364051580152,0.017867451558620476
3,15,18,0.37771124371021925,1.8308160845671553,0.01687397508059227
3,16,18,0.5547136691395781,1.5964230458871038,0.01596846878863414
3,17,18,0.399966691166837,1.2305975744833004,0.015582624195052694
3,18,18,0.4976720444237715,1.2378981974214425,0.015413317872479277
3,19,18,0.627868725178676,1.1287591548946074,0.014863572181784284
3,20,18,0.6294907935557152,1.0070425714405171,0.014118789459241995
4,1,19,0.29334602827300144,6.979612283040099,0.06162397086811559
4,2,19,0.6030567236952744,2.335469152277498,0.04379411615718036
4,3,19,0.47534306000918947,1.5368521606146393,0.03711579416455177
4,4,19,0.5049752918076966,2.8166329412427955,0.03461965614621904
4,5,19,0.8428420350641946,1.897397699564387,0.03027385548609058
4,6,19,0.784616047022208,1.7260767849322904,0.02710364954450581
4,7,19,0.29919406548635835,2.7510771538061776,0.024433154043672297
4,8,19,0.8570624835080575,1.276274467647373,0.02386183277034201
4,9,19,0.7401550134435209,1.3649734750605156,0.02326810101109254
4,10,19,0.42473735059379075,1.8710382051155596,0.021837312669596712
4,11,19,0.6964914825880401,1.7306170667923555,0.02147813746514201
4,12,19,0.5507829678022882,2.109800400254934,0.02129322522442904
4,13,19,0.4933337623515875,1.2913590648957824,0.020619682022173555
4,14,19,0.6357747121567531,1.5037013362997809,0.019619415249490558
4,15,19,0.6820840393338727,1.6214089414544166,0.018954584679123535
4,16,19,0.05300041717079137,1.636499091701446,0.017317768617426812
4,17,19,0.40479297664560276,1.5497796073200325,0.016570387755434443
4,18,19,-0.4708714832646045,2.071198038433905,0.0159624783932047
4,19,19,0.6949037168348743,1.011974394740833,0.015596100867483451
4,20,19,0.5962546856710126,0.8121710138343892,0.014553103999559046
