outer_fold,component,direction,collection,top_gene_count,pathway_gene_count,overlap_count,overlap_genes,p_value,fdr_bh
0,9,positive,immediate_early_response,50,8,0,,1.0,1.0
0,10,negative,MAPK_KRAS_signaling,50,384,3,ANGPTL4;SNAP25;TSPAN1,0.021059636979382085,0.13514205548266578
0,10,negative,E2F_targets,50,195,0,,1.0,1.0
0,10,negative,G2M_checkpoint,50,187,0,,1.0,1.0
0,10,negative,apoptosis,50,159,1,TIMP3,0.2167651816129296,0.6059390940465911
0,10,negative,epithelial_mesenchymal_transition,50,195,3,CXCL1;NTM;TIMP3,0.0033468928464270723,0.03861799438185083
0,10,negative,immediate_early_response,50,8,0,,1.0,1.0
0,10,positive,MAPK_KRAS_signaling,50,384,1,ADAM8,0.4468440685515185,0.9626802195005785
0,10,positive,E2F_targets,50,195,0,,1.0,1.0
0,10,positive,G2M_checkpoint,50,187,0,,1.0,1.0
0,10,positive,apoptosis,50,159,0,,1.0,1.0
0,10,positive,epithelial_mesenchymal_transition,50,195,3,AREG;MGP;MYLK,0.0033468928464270723,0.03861799438185083
0,10,positive,immediate_early_response,50,8,0,,1.0,1.0
0,11,negative,MAPK_KRAS_signaling,50,384,3,FGGY;ITGA2;TMEM100,0.021059636979382085,0.13514205548266578
0,11,negative,E2F_targets,50,195,0,,1.0,1.0
0,11,negative,G2M_checkpoint,50,187,0,,1.0,1.0
0,11,negative,apoptosis,50,159,0,,1.0,1.0
0,11,negative,epithelial_mesenchymal_transition,50,195,2,ITGA2;MGP,0.03605769434394831,0.15791690953554005
0,11,negative,immediate_early_response,50,8,0,,1.0,1.0
0,11,positive,MAPK_KRAS_signaling,50,384,8,ASB7;DNMBP;EMP1;EPHB2;ETV1;ETV4;LIF;SPRR3,1.1894376570264292e-07,9.515501256211434e-06
0,11,positive,E2F_targets,50,195,0,,1.0,1.0
0,11,positive,G2M_checkpoint,50,187,1,DMD,0.2498424474885676,0.6059390940465911
0,11,positive,apoptosis,50,159,1,EMP1,0.2167651816129296,0.6059390940465911
0,11,positive,epithelial_mesenchymal_transition,50,195,0,,1.0,1.0
0,11,positive,immediate_early_response,50,8,1,ETV4,0.012189583767522912,0.10523381669803952
0,12,negative,MAPK_KRAS_signaling,50,384,0,,1.0,1.0
0,12,negative,E2F_targets,50,195,0,,1.0,1.0
0,12,negative,G2M_checkpoint,50,187,0,,1.0,1.0
0,12,negative,apoptosis,50,159,0,,1.0,1.0
0,12,negative,epithelial_mesenchymal_transition,50,195,0,,1.0,1.0
0,12,negative,immediate_early_response,50,8,0,,1.0,1.0
0,12,positive,MAPK_KRAS_signaling,50,384,2,IGFBP3;UPK3B,0.11711436088896492,0.4324222555900243
0,12,positive,E2F_targets,50,195,1,MCM5,0.2590389627049177,0.6059390940465911
