cell_line,model,pc1_shift,pc2_shift,pc3_shift,pc4_shift,pc5_shift,pc6_shift,pc7_shift,pc8_shift,pc9_shift,pc10_shift
NCIH226_LUNG,B4_FIXED_D20_A100,-6.1308836436159755,-2.5798664292674944,3.290922401343737,-3.1654450542888775,-0.5645806330961723,-0.11785291847482168,1.18034055122398,-0.17314813071577403,2.0115459815977044,1.4180102030290673
NCIH226_LUNG,CCLR_FIXED_D20_R20_A100,-6.115363726732362,-2.4181345462341564,3.181565984970475,-3.0943649294176563,-0.4383624960206852,-0.2786597356527823,1.2773099602168618,-0.17347776278845833,1.8938213942133597,1.2955478494947406
RCM1_LARGE_INTESTINE,NO_CHANGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCM1_LARGE_INTESTINE,B1,-6.521274147133973,-2.596598398301048,2.7640277126619486,-3.2548846315903663,-0.6187244753385124,-0.45575336144161344,1.1628160919419395,0.037547348508037814,1.7943835909820227,1.6432304706312775
RCM1_LARGE_INTESTINE,B4_FIXED_D20_A100,-7.08367782696434,-2.905420395414639,2.970211993683232,-3.4102038996300488,-0.3891816137269019,-0.7713719363897962,1.2088803910523642,0.4269094955117582,1.886986499594822,1.7940727982985318
RCM1_LARGE_INTESTINE,CCLR_FIXED_D20_R20_A100,-7.149413251691167,-3.1622972849703364,2.9902236832426126,-3.557198668929577,-0.3089548859107881,-0.6160562065230792,1.1248761549371615,0.42906970653538595,1.8314910655931957,1.8691977365298618
RERFLCAD1_LUNG,NO_CHANGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RERFLCAD1_LUNG,B1,-6.521274147133973,-2.596598398301048,2.7640277126619486,-3.2548846315903663,-0.6187244753385124,-0.45575336144161344,1.1628160919419395,0.037547348508037814,1.7943835909820227,1.6432304706312775
RERFLCAD1_LUNG,B4_FIXED_D20_A100,-8.18692150908994,-3.539966455275653,4.73580308163986,-4.558150198934058,-0.9235806442330561,-0.5330868496934884,1.1640350836700066,0.1668097930852118,2.913068647116763,1.936907326376862
RERFLCAD1_LUNG,CCLR_FIXED_D20_R20_A100,-8.271938235449639,-3.6008004782063034,4.753915922354423,-4.609037437234917,-0.7723438569688771,-0.4433903946479857,1.101885194013593,0.17701345316186348,2.850612136956638,1.8774772596063414
SH10TC_STOMACH,NO_CHANGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH10TC_STOMACH,B1,-6.521274147133973,-2.596598398301048,2.7640277126619486,-3.2548846315903663,-0.6187244753385124,-0.45575336144161344,1.1628160919419395,0.037547348508037814,1.7943835909820227,1.6432304706312775
SH10TC_STOMACH,B4_FIXED_D20_A100,-5.670151990792311,-2.2033556767404194,2.966275241441826,-3.203547696082603,-0.7690940775971677,-0.5588617369208262,1.1441565018761728,0.05156792615389913,2.0446703599538028,1.4825302029772747
SH10TC_STOMACH,CCLR_FIXED_D20_R20_A100,-5.702420367041663,-2.305093405924631,3.045955760707817,-3.186943067093445,-0.7030721998212706,-0.48536634647338384,1.210055147016705,0.0827740602599682,1.95399776561797,1.4904690313890194
SKMEL2_SKIN,NO_CHANGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKMEL2_SKIN,B1,-6.521274147133973,-2.596598398301048,2.7640277126619486,-3.2548846315903663,-0.6187244753385124,-0.45575336144161344,1.1628160919419395,0.037547348508037814,1.7943835909820227,1.6432304706312775
SKMEL2_SKIN,B4_FIXED_D20_A100,-8.615518710392246,-3.3845450189033612,3.7017564515701142,-5.05526920732124,-0.9194556320067698,-0.0578113295230806,1.1073392436334033,0.09605233055340312,1.7219272653221092,1.7139214638395548
SKMEL2_SKIN,CCLR_FIXED_D20_R20_A100,-8.777598433247965,-3.3996843012906113,3.744915079165887,-4.840328740154894,-0.7685442162792526,-0.04395697613474922,1.1508992446034552,0.1940703163064465,1.748880341588545,1.7596169226447684
SKMEL3_SKIN,NO_CHANGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKMEL3_SKIN,B1,-6.521274147133973,-2.596598398301048,2.7640277126619486,-3.2548846315903663,-0.6187244753385124,-0.45575336144161344,1.1628160919419395,0.037547348508037814,1.7943835909820227,1.6432304706312775
SKMEL3_SKIN,B4_FIXED_D20_A100,-9.455627588897968,-3.727646715363208,3.4566041858056122,-5.186342340064396,-0.6451903728604536,0.3915560327698906,1.1417331815963379,0.016285307507868607,1.174915487565698,1.6342802369097842
SKMEL3_SKIN,CCLR_FIXED_D20_R20_A100,-9.499852554714531,-3.5692719221909566,3.4424749953989098,-4.911753917982514,-0.5276577599871337,0.19533122585649995,1.1826778513872516,0.10230697257395979,1.3091845299005533,1.7196090099517118
