cell_line,depmap_id,disease,condition,time_hours,n_cells,library_size,source_tag,eligible_t10,eligible_t20,eligible_t30
COLO680N_OESOPHAGUS,ACH-000717,esophageal cancer,untreated,48,124,3765054,Untreated_48hr,True,True,True
COV434_OVARY,ACH-000123,ovarian cancer,control,3,23,554688,DMSO_3hr,False,False,False
COV434_OVARY,ACH-000123,ovarian cancer,control,6,9,201953,DMSO_6hr,False,False,False
COV434_OVARY,ACH-000123,ovarian cancer,control,12,22,435094,DMSO_12hr,False,False,False
COV434_OVARY,ACH-000123,ovarian cancer,control,24,24,549483,DMSO_24hr,False,False,False
COV434_OVARY,ACH-000123,ovarian cancer,control,48,33,647072,DMSO_48hr,False,False,False
COV434_OVARY,ACH-000123,ovarian cancer,trametinib,3,18,390496,Tram_3hr,False,False,False
COV434_OVARY,ACH-000123,ovarian cancer,trametinib,6,14,316110,Tram_6hr,False,False,False
COV434_OVARY,ACH-000123,ovarian cancer,trametinib,12,19,466920,Tram_12hr,False,False,False
COV434_OVARY,ACH-000123,ovarian cancer,trametinib,24,38,886078,Tram_24hr,False,False,False
COV434_OVARY,ACH-000123,ovarian cancer,trametinib,48,30,621097,Tram_48hr,False,False,False
COV434_OVARY,ACH-000123,ovarian cancer,untreated,48,22,547535,Untreated_48hr,False,False,False
DKMG_CENTRAL_NERVOUS_SYSTEM,ACH-000244,brain cancer,control,3,68,1078487,DMSO_3hr,True,True,True
DKMG_CENTRAL_NERVOUS_SYSTEM,ACH-000244,brain cancer,control,6,38,566611,DMSO_6hr,True,True,True
DKMG_CENTRAL_NERVOUS_SYSTEM,ACH-000244,brain cancer,control,12,43,656160,DMSO_12hr,True,True,True
DKMG_CENTRAL_NERVOUS_SYSTEM,ACH-000244,brain cancer,control,24,64,979774,DMSO_24hr,True,True,True
DKMG_CENTRAL_NERVOUS_SYSTEM,ACH-000244,brain cancer,control,48,140,2260709,DMSO_48hr,True,True,True
DKMG_CENTRAL_NERVOUS_SYSTEM,ACH-000244,brain cancer,trametinib,3,45,810550,Tram_3hr,True,True,True
DKMG_CENTRAL_NERVOUS_SYSTEM,ACH-000244,brain cancer,trametinib,6,55,999908,Tram_6hr,True,True,True
DKMG_CENTRAL_NERVOUS_SYSTEM,ACH-000244,brain cancer,trametinib,12,42,614302,Tram_12hr,True,True,True
DKMG_CENTRAL_NERVOUS_SYSTEM,ACH-000244,brain cancer,trametinib,24,75,1008338,Tram_24hr,True,True,True
DKMG_CENTRAL_NERVOUS_SYSTEM,ACH-000244,brain cancer,trametinib,48,64,1011235,Tram_48hr,True,True,True
DKMG_CENTRAL_NERVOUS_SYSTEM,ACH-000244,brain cancer,untreated,48,54,914949,Untreated_48hr,True,True,True
IALM_LUNG,ACH-000672,lung cancer,control,3,13,431463,DMSO_3hr,True,False,False
IALM_LUNG,ACH-000672,lung cancer,control,6,10,270471,DMSO_6hr,True,False,False
IALM_LUNG,ACH-000672,lung cancer,control,12,18,617240,DMSO_12hr,True,False,False
IALM_LUNG,ACH-000672,lung cancer,control,24,21,807291,DMSO_24hr,True,False,False
