time_hours,model,metric,macro_mean,ci95_low,ci95_high,n_cell_lines
6,CCLR_FIXED_D20_R20_A100,rmse_gain_vs_b1,-0.00403192463546078,-0.006487630767873019,-0.0017520892657200463,17
12,B1,rmse_delta,0.3940391485433855,0.3594691088484613,0.428897775143287,17
12,B1,pcc_delta,0.1902373291340768,0.1515500046579247,0.22612974326458835,17
12,B1,spearman_delta,0.13482434683876637,0.10573658981510724,0.16045496914409693,17
12,B1,rmse_gain_vs_b1,0.0,0.0,0.0,17
12,B4_FIXED_D20_A100,rmse_delta,0.3952812339755121,0.3623784032703929,0.42720151932893335,17
12,B4_FIXED_D20_A100,pcc_delta,0.2086280523840728,0.16530342157367406,0.25083157860050626,17
12,B4_FIXED_D20_A100,spearman_delta,0.1474307788703737,0.11511429893029429,0.1772915810581447,17
12,B4_FIXED_D20_A100,rmse_gain_vs_b1,-0.0012420854321266227,-0.00304274960734956,0.0005148492133608579,17
12,CCLR_FIXED_D20_R20_A100,rmse_delta,0.39519902475701624,0.3634377293981081,0.4294780503720035,17
12,CCLR_FIXED_D20_R20_A100,pcc_delta,0.20439874561308996,0.16334772523081145,0.24550344156217713,17
12,CCLR_FIXED_D20_R20_A100,spearman_delta,0.1452234450010978,0.11434252714691148,0.17627682768016084,17
12,CCLR_FIXED_D20_R20_A100,rmse_gain_vs_b1,-0.001159876213630627,-0.0030750618168798346,0.0006485643158235812,17
24,B1,rmse_delta,0.3640628212672491,0.3345807349515677,0.3943453640182803,17
24,B1,pcc_delta,0.29507281016482334,0.24517720013893893,0.34128162586592486,17
24,B1,spearman_delta,0.21431343325604452,0.17810966957644722,0.24819212679841246,17
24,B1,rmse_gain_vs_b1,0.0,0.0,0.0,17
24,B4_FIXED_D20_A100,rmse_delta,0.3619884658305898,0.33377577299102174,0.390469809806868,17
24,B4_FIXED_D20_A100,pcc_delta,0.31896903256160286,0.2657870996484292,0.36685996969112017,17
24,B4_FIXED_D20_A100,spearman_delta,0.22754837592279115,0.18973187168084038,0.26111517503724874,17
24,B4_FIXED_D20_A100,rmse_gain_vs_b1,0.0020743554366593133,0.00031052685038386563,0.004035764900470564,17
24,CCLR_FIXED_D20_R20_A100,rmse_delta,0.3619969878792175,0.33382634467586864,0.3907642607336126,17
24,CCLR_FIXED_D20_R20_A100,pcc_delta,0.31591519788537265,0.26172920509739356,0.36692296740318864,17
24,CCLR_FIXED_D20_R20_A100,spearman_delta,0.22539146834508328,0.18602141596323127,0.260858788394295,17
24,CCLR_FIXED_D20_R20_A100,rmse_gain_vs_b1,0.0020658333880315795,0.000464786824440771,0.0038650110010746393,17
48,B1,rmse_delta,0.37503844145238197,0.3408604165355227,0.4098654889890178,17
48,B1,pcc_delta,0.32618179689919924,0.2835543227212052,0.36714435822114927,17
48,B1,spearman_delta,0.22500342060318188,0.1962837657135766,0.2531996018988903,17
48,B1,rmse_gain_vs_b1,0.0,0.0,0.0,17
48,B4_FIXED_D20_A100,rmse_delta,0.3711990086986544,0.33905148430518156,0.40632107460277056,17
48,B4_FIXED_D20_A100,pcc_delta,0.3512370507991482,0.3072802031434247,0.3945355124005068,17
48,B4_FIXED_D20_A100,spearman_delta,0.23832809092789967,0.20878645058046527,0.2677920897173353,17
48,B4_FIXED_D20_A100,rmse_gain_vs_b1,0.003839432753727607,0.002176408907025547,0.005496991476661419,17
48,CCLR_FIXED_D20_R20_A100,rmse_delta,0.37138628780441557,0.3378598920845008,0.40540269182634014,17
48,CCLR_FIXED_D20_R20_A100,pcc_delta,0.3480560208108924,0.301107548992137,0.3895806705895471,17
48,CCLR_FIXED_D20_R20_A100,spearman_delta,0.23657530221505027,0.20529021986491272,0.2645054056891798,17
48,CCLR_FIXED_D20_R20_A100,rmse_gain_vs_b1,0.003652153647966433,0.002282104787498238,0.00494361802375865,17
