cell_line,outer_fold,component,observed_score,predicted_score,explained_variance_ratio,observed_test_response_used_for_fit
BEN_LUNG,0,11,1.3387041246082485,-1.6538022922013913,0.021005602085431934,False
BEN_LUNG,0,12,0.40417729613199915,0.24347314537161258,0.020861858260621872,False
BEN_LUNG,0,13,0.9731830353832142,4.306250663539433,0.020018410335138008,False
BEN_LUNG,0,14,-0.6920157805021029,5.11140146391326,0.019644318307884757,False
BEN_LUNG,0,15,-0.43245804357284845,1.5304130557499107,0.019137768275404216,False
BEN_LUNG,0,16,-2.7911593993833916,2.1071594448438975,0.01840862265956599,False
BEN_LUNG,0,17,-1.7398610659887033,-0.9274407853203103,0.016926046455329198,False
BEN_LUNG,0,18,0.7465868631642664,-0.05108001787242953,0.016361539588049298,False
BEN_LUNG,0,19,-0.5616381984420054,2.617707684341464,0.01607243223060492,False
BEN_LUNG,0,20,0.2708300153863066,-0.21172919359100345,0.015388815828567983,False
DMS273_LUNG,0,1,9.023619652577311,4.860690954051227,0.05553688946113453,False
DMS273_LUNG,0,2,-0.7409196530077312,-1.1060916540471408,0.03903005911200724,False
DMS273_LUNG,0,3,-0.974817326610105,-0.8267218346766845,0.03578663602466285,False
DMS273_LUNG,0,4,6.205317704865793,3.7777860028225216,0.03214305828721827,False
DMS273_LUNG,0,5,1.2764696889534097,1.1743974381228373,0.02958947463965877,False
DMS273_LUNG,0,6,-3.17436257772617,-2.6592758799115854,0.02933470580615556,False
DMS273_LUNG,0,7,-0.2803534395571405,-2.1410931790974344,0.023540764245296095,False
DMS273_LUNG,0,8,-0.23403218520724223,0.9603016971646682,0.02278223756126588,False
DMS273_LUNG,0,9,0.18383958358146715,0.8655202092556789,0.022171650152042307,False
DMS273_LUNG,0,10,0.8936682713016626,2.2594922456383255,0.021498362504201927,False
DMS273_LUNG,0,11,-0.3475299438732553,-0.891352390094407,0.021005602085431934,False
DMS273_LUNG,0,12,-1.1224387915865148,-0.06212856134568679,0.020861858260621872,False
DMS273_LUNG,0,13,0.6016188690906965,0.9936808066947381,0.020018410335138008,False
DMS273_LUNG,0,14,-0.4864387297245136,-0.022656058879875884,0.019644318307884757,False
DMS273_LUNG,0,15,1.0046583947110608,1.1934750777234069,0.019137768275404216,False
DMS273_LUNG,0,16,-2.3541573523537545,1.074410321242935,0.01840862265956599,False
DMS273_LUNG,0,17,0.2320467666138695,0.05923179764013408,0.016926046455329198,False
DMS273_LUNG,0,18,0.9943578522439538,-1.013951602105628,0.016361539588049298,False
DMS273_LUNG,0,19,-1.416998074763363,-0.30678648836319916,0.01607243223060492,False
DMS273_LUNG,0,20,0.15774247066019953,-1.317070634751222,0.015388815828567983,False
HCC1195_LUNG,0,1,-1.0807104828359204,1.4672380895553696,0.05553688946113453,False
HCC1195_LUNG,0,2,1.4491449424335805,1.7233612560017253,0.03903005911200724,False
HCC1195_LUNG,0,3,0.9965065190985625,1.348190075681945,0.03578663602466285,False
HCC1195_LUNG,0,4,-7.180553959135853,-0.4619116657463814,0.03214305828721827,False
HCC1195_LUNG,0,5,1.5676326980981028,1.6410832881644917,0.02958947463965877,False
HCC1195_LUNG,0,6,1.9072521996229703,3.9356637727121613,0.02933470580615556,False
HCC1195_LUNG,0,7,-2.4515294402448413,-0.36834691450686774,0.023540764245296095,False
HCC1195_LUNG,0,8,-0.06509934603587764,-0.42971542624962944,0.02278223756126588,False
HCC1195_LUNG,0,9,0.580512984822831,0.8269782456280048,0.022171650152042307,False
HCC1195_LUNG,0,10,-1.3830343391697897,-2.1829889742760216,0.021498362504201927,False
HCC1195_LUNG,0,11,0.5092484900366461,1.2150316031632717,0.021005602085431934,False
HCC1195_LUNG,0,12,0.6011519958476087,-1.378742657710411,0.020861858260621872,False
HCC1195_LUNG,0,13,0.8520438244989493,1.6720448293663563,0.020018410335138008,False
HCC1195_LUNG,0,14,0.7945125331964857,1.1658143359151396,0.019644318307884757,False
HCC1195_LUNG,0,15,-1.713442017436605,-0.3977764909682777,0.019137768275404216,False
HCC1195_LUNG,0,16,-2.052181293230219,-0.064326970841006,0.01840862265956599,False
HCC1195_LUNG,0,17,-1.9084249626275893,0.592906334419902,0.016926046455329198,False
HCC1195_LUNG,0,18,-2.2440102510741413,-1.451939140360309,0.016361539588049298,False
HCC1195_LUNG,0,19,-0.38042367085492623,1.5399545847805265,0.01607243223060492,False
HCC1195_LUNG,0,20,-2.675267315851567,-0.3649113981481173,0.015388815828567983,False
ISTMES1_PLEURA,0,1,1.4926749195897013,2.1816873218265416,0.05553688946113453,False
ISTMES1_PLEURA,0,2,1.453353265774823,-0.8412579420441262,0.03903005911200724,False
ISTMES1_PLEURA,0,3,0.4507951840664297,-0.6353443146213272,0.03578663602466285,False
ISTMES1_PLEURA,0,4,-2.3442653322887335,0.6631222141561571,0.03214305828721827,False
ISTMES1_PLEURA,0,5,-0.7535753193049903,-2.3869158924657503,0.02958947463965877,False
ISTMES1_PLEURA,0,6,-1.1889706277973007,-1.8287590183815292,0.02933470580615556,False
ISTMES1_PLEURA,0,7,2.268064755436357,2.972112663717313,0.023540764245296095,False
ISTMES1_PLEURA,0,8,0.5694913270172544,1.8852671983915585,0.02278223756126588,False
ISTMES1_PLEURA,0,9,0.8038189597783301,-0.5458425280736521,0.022171650152042307,False
ISTMES1_PLEURA,0,10,2.9539002754748385,1.4641136632007394,0.021498362504201927,False
ISTMES1_PLEURA,0,11,-1.1255550149375733,0.16831950560898876,0.021005602085431934,False
ISTMES1_PLEURA,0,12,0.8623941434444516,1.555541664256783,0.020861858260621872,False
ISTMES1_PLEURA,0,13,-0.6129640910253078,-0.8066986559028893,0.020018410335138008,False
ISTMES1_PLEURA,0,14,-0.09014167393453731,-1.0158611284549484,0.019644318307884757,False
ISTMES1_PLEURA,0,15,1.1904853792061316,-0.16526669276921047,0.019137768275404216,False
ISTMES1_PLEURA,0,16,-0.6223357833676917,1.8554027143150498,0.01840862265956599,False
ISTMES1_PLEURA,0,17,1.482387186138332,0.6276940667954283,0.016926046455329198,False
ISTMES1_PLEURA,0,18,-0.9961546968825059,0.8180569981045502,0.016361539588049298,False
ISTMES1_PLEURA,0,19,-0.2634595637859196,-2.127765632776098,0.01607243223060492,False
ISTMES1_PLEURA,0,20,0.9263706206254967,-0.39236912343433694,0.015388815828567983,False
J82_URINARY_TRACT,0,1,6.7534831017668555,-1.6070151269588029,0.05553688946113453,False
J82_URINARY_TRACT,0,2,0.23738597670557207,-1.6288419058939059,0.03903005911200724,False
J82_URINARY_TRACT,0,3,-1.0944348480658275,1.0431921734042942,0.03578663602466285,False
J82_URINARY_TRACT,0,4,1.2098428336355842,-0.5808816615446808,0.03214305828721827,False
J82_URINARY_TRACT,0,5,-1.1612210792865394,-2.0571797742801374,0.02958947463965877,False
J82_URINARY_TRACT,0,6,-2.664790058589456,-2.3830983356478406,0.02933470580615556,False
J82_URINARY_TRACT,0,7,0.83375086910644,2.759226123058459,0.023540764245296095,False
J82_URINARY_TRACT,0,8,-0.24545842079707636,1.3467962636588775,0.02278223756126588,False
J82_URINARY_TRACT,0,9,1.2230344113036906,1.429614213555414,0.022171650152042307,False
J82_URINARY_TRACT,0,10,0.6731175844187487,0.11993610723842031,0.021498362504201927,False
J82_URINARY_TRACT,0,11,0.6869412668263581,-0.16331168981561964,0.021005602085431934,False
J82_URINARY_TRACT,0,12,0.5026602702950703,0.7869735087605917,0.020861858260621872,False
J82_URINARY_TRACT,0,13,-1.081253979576163,-0.4640111726676626,0.020018410335138008,False
J82_URINARY_TRACT,0,14,-0.8501032391596002,0.5994044373684718,0.019644318307884757,False
J82_URINARY_TRACT,0,15,0.3401662366688052,-0.0034518235915492164,0.019137768275404216,False
J82_URINARY_TRACT,0,16,-0.7351140544414165,0.7305761279402248,0.01840862265956599,False
J82_URINARY_TRACT,0,17,1.3160676526238544,1.3788218499413525,0.016926046455329198,False
J82_URINARY_TRACT,0,18,0.1944956655586756,-0.49582806769350635,0.016361539588049298,False
J82_URINARY_TRACT,0,19,-0.5524929658280984,-2.317007953814828,0.01607243223060492,False
J82_URINARY_TRACT,0,20,0.39089548723904666,-0.28393555387491254,0.015388815828567983,False
KNS81_CENTRAL_NERVOUS_SYSTEM,0,1,-0.4988295526429116,2.276498371067974,0.05553688946113453,False
KNS81_CENTRAL_NERVOUS_SYSTEM,0,2,0.5644861554657425,0.045596516264454844,0.03903005911200724,False
KNS81_CENTRAL_NERVOUS_SYSTEM,0,3,1.205424689477065,0.4350846806602547,0.03578663602466285,False
KNS81_CENTRAL_NERVOUS_SYSTEM,0,4,-5.617085792259941,-0.7758609071939282,0.03214305828721827,False
KNS81_CENTRAL_NERVOUS_SYSTEM,0,5,-1.6878286568039613,-0.527106508302101,0.02958947463965877,False
KNS81_CENTRAL_NERVOUS_SYSTEM,0,6,0.35809709325325745,-1.1522162454528524,0.02933470580615556,False
KNS81_CENTRAL_NERVOUS_SYSTEM,0,7,3.4956627947807606,2.9471191531565912,0.023540764245296095,False
KNS81_CENTRAL_NERVOUS_SYSTEM,0,8,1.2207547837406816,0.4936743703882401,0.02278223756126588,False
KNS81_CENTRAL_NERVOUS_SYSTEM,0,9,1.8162804539938626,-0.05431713072157923,0.022171650152042307,False
KNS81_CENTRAL_NERVOUS_SYSTEM,0,10,4.314941605758766,2.7280519274291137,0.021498362504201927,False
KNS81_CENTRAL_NERVOUS_SYSTEM,0,11,-1.0141019158543894,-0.7216884564959894,0.021005602085431934,False
KNS81_CENTRAL_NERVOUS_SYSTEM,0,12,4.224315762110042,1.1646768048617626,0.020861858260621872,False
KNS81_CENTRAL_NERVOUS_SYSTEM,0,13,-1.0650817409533038,-0.6362826460736688,0.020018410335138008,False
KNS81_CENTRAL_NERVOUS_SYSTEM,0,14,0.5218427354825181,-0.9517082621431875,0.019644318307884757,False
KNS81_CENTRAL_NERVOUS_SYSTEM,0,15,2.4463268668949123,0.5283075846780921,0.019137768275404216,False
KNS81_CENTRAL_NERVOUS_SYSTEM,0,16,1.854684258780193,1.5905371199507587,0.01840862265956599,False
