cell_line,depmap_id,disease,time_hours,response_pc1,response_pc2,response_pc3,response_pc4,response_pc5
SNU1079_BILIARY_TRACT,ACH-000209,bile duct cancer,6,-15.521120540005752,-0.3728498461067335,-2.910286006376377,-29.064991216138125,-1.9027424727381257
SNU1079_BILIARY_TRACT,ACH-000209,bile duct cancer,12,-0.43637940192018015,0.4427822070094262,-0.8405546337842194,-0.06894935697397567,1.5319863135023677
SNU1079_BILIARY_TRACT,ACH-000209,bile duct cancer,24,-20.806823244395982,3.747522178892476,-5.771962651072321,-12.566411382698188,6.060530761321874
SNU1079_BILIARY_TRACT,ACH-000209,bile duct cancer,48,-7.0644379120197,4.683197054150982,-0.8369369763106155,-2.1133332220089316,4.882568766692243
SQ1_LUNG,ACH-000553,lung cancer,3,9.851535868187387,-0.8700794067196699,0.6941078411640274,2.6776069263792732,-0.31751915578806
SQ1_LUNG,ACH-000553,lung cancer,6,9.944372882331432,0.5039759506505658,1.5607671656751294,-0.1287739573402638,-1.0016465626119906
SQ1_LUNG,ACH-000553,lung cancer,12,2.1478414179837566,2.6645007556321856,1.594263394410284,5.831548418065668,1.3544880903775929
SQ1_LUNG,ACH-000553,lung cancer,24,-4.0030799938430315,3.928310548034937,0.721962597929808,7.434524949252739,2.7445678241714386
SQ1_LUNG,ACH-000553,lung cancer,48,-13.497061864053842,3.363842506716236,-0.48423526351299206,9.0355141415512,3.1877140940197575
TEN_ENDOMETRIUM,ACH-000397,endometrial/uterine cancer,3,8.993049540865831,-0.028015240798776545,3.746212100837841,-3.45153961768704,1.1397244630694345
TEN_ENDOMETRIUM,ACH-000397,endometrial/uterine cancer,6,8.844459113090277,-0.6460492731581882,2.8788353043576715,-2.9273218816134032,2.269453919098109
TEN_ENDOMETRIUM,ACH-000397,endometrial/uterine cancer,12,6.4092293245677165,-0.3790626205440279,1.0856762800269806,-0.8491361616886156,1.1102240908366647
TEN_ENDOMETRIUM,ACH-000397,endometrial/uterine cancer,24,6.52897770333638,0.5429916979660483,1.9737810006464291,1.5594466056849638,1.079572072003884
TEN_ENDOMETRIUM,ACH-000397,endometrial/uterine cancer,48,4.3780394658229485,1.5273311881084628,2.0565308730608325,1.3325249304902507,2.262160656125528
UMUC1_URINARY_TRACT,ACH-000834,bladder cancer,3,9.147336574209916,-0.2653375149310239,0.8140364351273529,0.7800657757582338,-0.8615963118992234
UMUC1_URINARY_TRACT,ACH-000834,bladder cancer,6,3.1437190523245375,1.1883841820127115,0.6256833322830979,2.7374838734215565,0.8778018494186217
UMUC1_URINARY_TRACT,ACH-000834,bladder cancer,12,-0.7189425508257555,1.7177004330992478,1.1815292345397868,6.1823653684882744,3.6886956535800057
UMUC1_URINARY_TRACT,ACH-000834,bladder cancer,24,-13.12865120132498,0.5221452671966293,-1.47974073166038,4.850898518747019,4.547484629844055
UMUC1_URINARY_TRACT,ACH-000834,bladder cancer,48,-33.478075662037405,2.1450883111899204,-4.979501265266712,1.598424946361371,7.762894058025062
