cell_line,dmso_6h_vs_24h_pcc,dmso_6h_vs_24h_spearman,dmso_6h_vs_24h_rmse,trametinib_24h_vs_dmso_24h_rmse,control_to_treatment_rmse_ratio,primary_strict_eligible
HCC1143_BREAST,0.9743532355486614,0.9606572441671524,0.39386001701867734,0.43819171939258345,0.8988303511637367,True
HCC1195_LUNG,0.9708142327654202,0.9585676563471911,0.41894047451891375,0.5019544948913158,0.8346184341065092,True
HCC1419_BREAST,0.9615203171031624,0.9447534321525227,0.4812140803054955,0.5877500243765998,0.8187393625647191,True
HEC1B_ENDOMETRIUM,0.982909385383953,0.9709766131648099,0.32339192708760284,0.3856104099890756,0.8386493691826541,True
HEP3B217_LIVER,0.9525988497426856,0.9360385891757546,0.5460725550858275,0.6971427880279133,0.7833008738863451,True
HS766T_PANCREAS,0.9589405728008121,0.9434820254231191,0.5100065935073782,0.8517397514055186,0.5987821898247425,True
HS852T_SKIN,0.9317462758573157,0.9179940809044439,0.6563035338929274,0.8022746669016979,0.81805341857235,True
HUCCT1_BILIARY_TRACT,0.9702378049312534,0.9559730910857285,0.42075452915613587,0.5892629068450788,0.714035321532219,True
IGR1_SKIN,0.9784923567722781,0.9675213892601566,0.35518950486507855,0.4535902857282119,0.7830624156662508,True
IGROV1_OVARY,0.9870666070055006,0.97547252477649,0.2778807368128086,0.33173731542132084,0.8376529377163614,True
ISTMES1_PLEURA,0.9655086521907476,0.9467514434066372,0.45860394266014776,0.4697688857876881,0.9762331149096445,True
J82_URINARY_TRACT,0.9847709160720424,0.9752250416915891,0.301742598514213,0.330057045868614,0.9142134739772464,True
JHH5_LIVER,0.9741224869268781,0.9615736207141078,0.39456667770418213,0.5554165465821036,0.7103977728647951,True
JHOM1_OVARY,0.9330012022522465,0.9147465199980401,0.6566300281944313,0.6928849527002966,0.947675405037195,False
KNS42_CENTRAL_NERVOUS_SYSTEM,0.9710439366376231,0.961409929307391,0.4233495630479834,0.39647084629561863,1.0677949387792396,True
