cell_line,depmap_id,lineage,outer_fold,model,rmse_delta,nrmse_delta,pcc_delta,spearman_delta,signed_top50_overlap,pcc_context,rmse_gain_vs_b1,nrmse_gain_vs_b1,rmse_gain_vs_b4,nrmse_gain_vs_b4
MALME3M_SKIN,ACH-000477,skin,0,CCLR,0.598958423607201,0.9219260330773985,0.37706721676493177,0.287202923810277,0.11000000000000001,0.17041430362747814,0.008763713798900619,0.013489243291692432,0.0010093300171445385,0.0015535763119715051
MDAMB468_BREAST,ACH-000849,breast,0,CCLR,0.26030226595215283,0.9006682532629606,0.4552577621085654,0.3222549298084151,0.30000000000000004,0.07355515694589473,0.0009307034264113834,0.0032203139926790803,0.0007369140335655722,0.0025497860073891987
MIAPACA2_PANCREAS,ACH-000601,pancreas,0,CCLR,0.26400957516047757,0.7985744646132414,0.624156388204319,0.4718668759444046,0.23,0.02333401884232537,-0.0013190269185798242,-0.003989784138227037,-0.002436513185770095,-0.00736994941061031
NCIH2347_LUNG,ACH-000875,lung,0,CCLR,0.48490100962843363,0.912240262005175,0.4124493748544176,0.31624720028375297,0.12000000000000001,0.12986323741430275,0.003517982113672935,0.006618350676492968,0.001430347062447046,0.002690900107642169
NCIH23_LUNG,ACH-000900,lung,0,CCLR,0.27448686573287967,0.8939456937476717,0.44953970412655836,0.34072708886709324,0.25,0.12324442755183443,0.0023054738749843096,0.00750844102171222,-0.0005563234113792892,-0.0018118277412131345
RCC10RGB_KIDNEY,ACH-000189,kidney,0,CCLR,0.28343375666643533,0.8825487583526859,0.47561854512749696,0.35450158225852785,0.25,0.06081726658006369,0.0006966345316043454,0.0021691627282651726,-0.0029732480104273096,-0.00925802335875392
SNU685_ENDOMETRIUM,ACH-000407,uterus,0,CCLR,0.29232285019226817,0.9506975709974717,0.33557039571376557,0.23263480145890914,0.15,0.11680299473491455,0.0020377826482109174,0.006627312960997389,-0.00013379612616037928,-0.00043513414044049625
TE6_OESOPHAGUS,ACH-000605,esophagus,0,CCLR,0.34809286818019886,0.9317131306503839,0.3639960222456839,0.2805468747979424,0.2,0.052908786183897966,-2.3063729960748347e-05,-6.173289374911128e-05,0.0011129271608604219,0.0029788856481091086
UACC257_SKIN,ACH-000579,skin,0,CCLR,0.37482100229014775,0.8452153806721752,0.5408599314763997,0.4192735152525832,0.13,0.21747603881017552,0.00904302859749695,0.02039188522458002,-0.0011017384744716474,-0.0024844026839800915
22RV1_PROSTATE,ACH-000956,prostate,1,CCLR,0.41314578915467,0.9626408664335573,0.2650001355175312,0.23702619048173182,0.05,0.08325498964450251,0.0014331514937107048,0.0033392817544116715,0.0001351049744611199,0.0003147982457737397
A375_SKIN,ACH-000219,skin,1,CCLR,0.38411015610242166,0.8101549026112285,0.6394860591833114,0.4917413238279886,0.21000000000000002,0.23325537710717367,0.008019094623962497,0.016913660628057547,-0.000981132313923272,-0.0020693781239755626
CAL120_BREAST,ACH-000212,breast,1,CCLR,0.22233419003782137,0.8943035174319234,0.4715981870297585,0.36961240067198875,0.26,0.07184500531261112,4.357494827375574e-05,0.0001752732204908236,-0.002479788868422872,-0.009974551854313396
COLO668_LUNG,ACH-000803,lung,1,CCLR,0.42216032325279407,0.9736001438233765,0.2375850817166006,0.21472962453537497,0.09,0.06224514344320744,-0.0009636991951147977,-0.00222251505716331,-0.0017010127183599844,-0.003922931966889087
