outer_fold,component,direction,gene_id,gene_symbol,loading
0,2,negative,ENSG00000235884,LINC00941,-0.031889889389276505
0,2,negative,ENSG00000198554,WDHD1,-0.03188605606555939
0,2,negative,ENSG00000125538,IL1B,-0.031668368726968765
0,2,negative,ENSG00000188807,TMEM201,-0.031636014580726624
0,2,negative,ENSG00000151651,ADAM8,-0.03154687583446503
0,2,negative,ENSG00000107165,TYRP1,-0.03143136203289032
0,2,negative,ENSG00000082516,GEMIN5,-0.031397152692079544
0,2,negative,ENSG00000270607,RP11-359E10.1,-0.03135446459054947
0,2,negative,ENSG00000075336,TIMM21,-0.03127174451947212
0,2,negative,ENSG00000247572,CKMT2-AS1,-0.031234469264745712
0,2,negative,ENSG00000139318,DUSP6,-0.031049007549881935
0,2,negative,ENSG00000025156,HSF2,-0.030526505783200264
0,2,negative,ENSG00000090006,LTBP4,-0.0301411971449852
0,2,negative,ENSG00000123496,IL13RA2,-0.03009301982820034
0,2,negative,ENSG00000090932,DLL3,-0.030092472210526466
0,2,negative,ENSG00000178860,MSC,-0.029994389042258263
0,2,negative,ENSG00000136490,LIMD2,-0.029968610033392906
0,2,negative,ENSG00000134954,ETS1,-0.02990742214024067
0,2,negative,ENSG00000173480,ZNF417,-0.029867131263017654
0,2,negative,ENSG00000135740,SLC9A5,-0.02982220984995365
0,2,negative,ENSG00000255468,RP11-867G23.8,-0.029759975150227547
0,2,negative,ENSG00000175764,TTLL11,-0.02974672242999077
0,2,negative,ENSG00000164038,SLC9B2,-0.029726317152380943
0,2,positive,ENSG00000224259,LINC01133,0.03539790213108063
0,2,positive,ENSG00000162366,PDZK1IP1,0.03573896363377571
0,2,positive,ENSG00000187123,LYPD6,0.03577356040477753
0,2,positive,ENSG00000130940,CASZ1,0.035990383476018906
0,2,positive,ENSG00000233901,RP11-65J3.1,0.036131590604782104
0,2,positive,ENSG00000213859,KCTD11,0.036314964294433594
0,2,positive,ENSG00000254827,SLC22A18AS,0.036553800106048584
0,2,positive,ENSG00000204397,CARD16,0.0365566723048687
0,2,positive,ENSG00000090339,ICAM1,0.036681633442640305
0,2,positive,ENSG00000101096,NFATC2,0.03670359030365944
0,2,positive,ENSG00000087510,TFAP2C,0.036990851163864136
0,2,positive,ENSG00000175567,UCP2,0.03709108382463455
0,2,positive,ENSG00000126106,TMEM53,0.037326935678720474
0,2,positive,ENSG00000148346,LCN2,0.03745092451572418
0,2,positive,ENSG00000169583,CLIC3,0.03751472011208534
0,2,positive,ENSG00000108187,PBLD,0.03758787736296654
0,2,positive,ENSG00000133321,RARRES3,0.037640251219272614
0,2,positive,ENSG00000166016,ABTB2,0.037966568022966385
0,2,positive,ENSG00000245648,RP11-277P12.20,0.03805794194340706
0,2,positive,ENSG00000101493,ZNF516,0.038136571645736694
0,2,positive,ENSG00000138336,TET1,0.03818643093109131
0,2,positive,ENSG00000148841,ITPRIP,0.038413092494010925
0,2,positive,ENSG00000115525,ST3GAL5,0.03887299820780754
0,2,positive,ENSG00000198729,PPP1R14C,0.03898333013057709
0,2,positive,ENSG00000173706,HEG1,0.039703309535980225
0,2,positive,ENSG00000152128,TMEM163,0.03985162079334259
0,2,positive,ENSG00000172183,ISG20,0.04012538865208626
0,2,positive,ENSG00000186832,KRT16,0.040342338383197784
0,2,positive,ENSG00000130775,THEMIS2,0.04076731204986572
0,2,positive,ENSG00000163435,ELF3,0.04083311930298805
0,2,positive,ENSG00000228742,RP5-884M6.1,0.040928956121206284
0,2,positive,ENSG00000102524,TNFSF13B,0.041204940527677536
0,2,positive,ENSG00000019582,CD74,0.042106494307518005
0,2,positive,ENSG00000135114,OASL,0.04220207408070564
0,2,positive,ENSG00000120318,ARAP3,0.04228333756327629
0,2,positive,ENSG00000237512,UNC5B-AS1,0.04251116141676903
0,2,positive,ENSG00000127954,STEAP4,0.042778223752975464
0,2,positive,ENSG00000168961,LGALS9,0.043046269565820694
0,2,positive,ENSG00000133328,HRASLS2,0.043827056884765625
0,2,positive,ENSG00000117228,GBP1,0.04427318647503853
0,2,positive,ENSG00000130751,NPAS1,0.04522479325532913
0,2,positive,ENSG00000198125,MB,0.04682879149913788
0,2,positive,ENSG00000128274,A4GALT,0.04688384011387825
0,2,positive,ENSG00000256262,USP30-AS1,0.047660645097494125
0,2,positive,ENSG00000145040,UCN2,0.04922188073396683
0,2,positive,ENSG00000180155,LYNX1,0.049844421446323395
0,2,positive,ENSG00000121858,TNFSF10,0.051166463643312454
0,2,positive,ENSG00000111859,NEDD9,0.05164295807480812
