cell_line,depmap_id,author_ccle_id,lineage,lineage_subtype,trametinib_auc,trametinib_sensitivity,prism_auc,gdsc_auc,braf_mut,kras_mut,hras_mut,nras_mut,annotation_source,sensitivity_use,outer_fold,response_pc1,response_pc2,response_pc3,response_pc4,response_pc5,braf_or_kras_mut,response_rms,min_condition_cells,baseline_novelty,b4_rmse,cclr_rmse,b4_pcc_context,pathway__MAPK_KRAS_signaling,pathway__E2F_targets,pathway__G2M_checkpoint,pathway__apoptosis,pathway__epithelial_mesenchymal_transition,pathway__immediate_early_response
LMSU_STOMACH,ACH-000255,LMSU_STOMACH,gastric,,0.7889443522881889,0.211055647711811,0.74835507913214,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,3,3.8180015,-0.5456574,0.7102947,-2.0977862,0.237359,False,0.2832253,100,2.6821068218893296,0.2394253824952437,0.2397184331874724,0.1788983156810693,-0.09853224,-0.38490945,-0.30374813,-0.013394464,0.096386276,-1.5232618
LN229_CENTRAL_NERVOUS_SYSTEM,ACH-000595,LN229_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,0.6428885957718942,0.3571114042281058,0.723686909773379,0.464778,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,1,-2.6480742,-4.4847302,-1.5107431,-3.0605261,-4.191295,False,0.3612747,82,2.8144034522625376,0.3123941718297998,0.3122775130853467,0.1076091892447301,-0.14941037,-0.37758583,-0.27239648,-0.081196584,0.042684965,-2.3914084
LNCAPCLONEFGC_PROSTATE,ACH-000977,LNCAPCLONEFGC_PROSTATE,prostate,,0.9451991411551676,0.0548008588448323,0.892328361380036,0.98164,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,4,8.118889,-2.416975,-0.08396709,3.7495022,2.7248437,False,0.26919225,51,3.856483924842639,0.2655532989516462,0.267808003799822,0.1665907026240597,-0.042701162,-0.15991929,-0.07336239,-0.104550034,-0.13108493,-0.9219029
LOVO_LARGE_INTESTINE,ACH-000950,LOVO_LARGE_INTESTINE,colorectal,colorectal_MSI,0.5177850952632148,0.4822149047367852,0.590837926178378,0.462816,False,True,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,0,-1.0602221,4.9153566,1.8455247,-5.5042634,-2.370089,True,0.3472808,79,2.1608369415270907,0.29008723438826,0.2919027557115817,0.2023054703308824,-0.0008482065,-0.53167415,-0.4046245,0.059011195,0.009414104,-1.4844705
LUDLU1_LUNG,ACH-000390,LUDLU1_LUNG,lung,lung_NSC,0.6814077914324009,0.318592208567599,0.679210454866379,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,2,4.601535,3.5617666,1.326185,0.8583079,-0.69958764,False,0.34499282,26,2.477446803005343,0.3215508359445547,0.3218417729850464,0.0791555424876389,-0.06527639,-0.20250782,-0.09176732,-0.078341514,-0.114207245,-1.9175718
MALME3M_SKIN,ACH-000477,MALME3M_SKIN,skin,melanoma,0.2515524304366798,0.7484475695633201,0.432470740146339,,True,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,0,-44.12667,-50.530174,27.234324,11.999834,1.2809558,True,0.6496816,40,2.5181533755478607,0.5999677536243455,0.598958423607201,0.157070602216287,-0.31542668,-1.0983614,-0.9559082,-0.32125106,-0.4009035,-3.0714474
MDAMB435S_SKIN,ACH-000884,MDAMB435S_SKIN,skin,melanoma,0.2684429690168814,0.7315570309831185,0.44007872345067,,True,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,1,1.2950631,-3.4894822,-0.3388595,-5.415318,-3.0593865,True,0.30777377,68,3.0975674268913322,0.2716950840924688,0.2715737924889828,0.0788682198217397,-0.09203837,-0.30283597,-0.2603411,-0.07809417,0.03169788,-2.1395814
MDAMB468_BREAST,ACH-000849,MDAMB468_BREAST,breast,TNBC,0.8750921339321706,0.1249078660678294,0.860193979979072,0.890815,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,0,4.7602577,3.1657534,0.93157744,-2.4100351,-2.5263114,False,0.28901014,74,2.202090133615874,0.2610391799857184,0.2603022659521528,0.0643838541237301,-0.027225181,-0.12361311,-0.07449503,0.08592043,-0.101533785,-1.7147639
MIAPACA2_PANCREAS,ACH-000601,MIAPACA2_PANCREAS,pancreas,,0.4228856278886699,0.5771143721113301,0.517857793721413,0.362784,False,True,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,0,-2.81508,2.4967563,1.7827072,-8.609932,-1.014521,True,0.33060107,112,2.3185609687719935,0.2615730619747075,0.2640095751604775,0.0958746389956303,0.028135741,-0.5505778,-0.45504105,0.06090683,0.019319797,-1.8905454
MSTO211H_PLEURA,ACH-000335,MSTO211H_PLEURA,mesothelioma,,0.3194007303148024,0.6805992696851977,0.480196879358079,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,2,-0.9278056,0.36242604,-0.21484208,-2.955789,-0.3662516,False,0.29330456,64,2.1618072257487144,0.236143989967976,0.2374771939572305,0.1113941626621692,-0.09496419,-0.5057012,-0.4058772,-0.056594513,-0.03321665,-1.7458616
